dialect	standard
그 수아기 별로요 일려내	그 수확이 별로요 일 년에
사라온 내여걸 얘기해 보머뇨	살아온 내역을 얘기해 보면요
농토는 얼마나 대션는대요	농토는 얼마나 대셨는데요
농토는약 한 전채애서 한 이천 평 정도 부처 보고	농토는 약 한 전체에서한 이천 평 정도 부쳐 보고
그래 아드리 여러시니까 자꾸 학삐애 파라머거야 대요	그래 아들이 여럿이니까자꾸 학비에 팔아먹어야 돼요
그래 자꾸 줄과찌요 머	그래서 자꾸 줄였지요 뭐
그 학삐럴 점부 내고 학 공부시켜씀니다	그 학비를 전부 내고 학 공부시켰습니다
한 사람도 혜택뽄 니리 업써요	한 사람도 혜택본 일이 없어요
수업뇨 다 내야 대고	수업료 다 내야 되고
기성해비 다 내야 대고	기성회비 다 내야 되고
머 일리리 다 내가민성 공부 시키찌요	뭐 일일이 다 내가면서 공부를 시키지요
그래 대학교 한 사람배깨 모 시키써요	그래 대학교 한 사람밖에 못 시켰어요
그라고점부 고동학꾜 중학꾜애 끈마 끈마치기도 하고	그리고 에 전부 고등학교 중학교 끝마 끝마치기도 하고
그런 곡씨글 시물 때 제일 그래도 수하기 마능 개 어떵거여써요	그런 곡식을 심을 때 제일 그래도 수확이 많은 게 어떤 거였어요
도우미 마니 댕거	도움이 많이 된 거
수하기 마이 댕거넌 그래두 잘 지먼 인사미 잴 나찌요 머	수확이 많이 되는것은 그래도 잘 지으면 인삼이 제일 낫지요
그라고 인재 담배가 땅거보담 수하기 좀 나닝까	그리고 이제 담배가 다른 것보다 수확이 좀 나으니까
이 건조시래 옌날 걸조시런 이 흐그로 싸 올린 흑뼉	이 건조실에 옛날 건조실은 흙으로 쌓아 올린 흙벽
거기 그렁 기 건조시림니다	거기 그런 게 건조실입니다
지그먼 인재 다 이 기개 건조시리지요	지금은 이제 다 이 기계 건조실이지요
그른대 에 그 두 개까지도 가지구 담배 농사두 해 바써요	그런데 에 그 두개까지도 가지고 담배 농사도 해 봤어요
근대 인삼 농사넌 그 한 심년 해써요 인삼 농사럴	그런데 인삼 농사는 한 십년 했어요 인삼 농사를
인삼 농산 참 그거는 어렵씀니다	인삼 농사는 참 그것은 어렵습니다
인삼 농사	인삼 농사
이 땅얼 일련 간 무커야 대요	이 땅을 일년 간 묵혀야 돼요
거 인삼 거르멀 할라먼	인삼 거름을 하려면
아주 그개 옌나랜	아주 그게 옛날엔
그라고 옌나래 한시보 년 저내 잉삼 농살 해써요	그리고 옛날에 한 에십오 년 전에 인삼 농사를 했어요
그때만 해도 지금 인삼 농사하고 다름니다 지그먼	그때만 해도 지금 인삼 농사하고 다릅니다 지금은
그때넌 푸럴 해다가 바태다 까라 가주구 소로 가라 가주 디지버 가주구 그걸써쿰니다	그때는 풀을 해다가 밭에다 깔아주고 소로 갈아 가지고 뒤집어 가지고그걸 썩힙니다
그 저 가랑닙꺼틍 걸 이렁 걸	그 저 가랑잎 같은 걸 이런 걸
인삼 농사진능 건 보시쓸 끼여 더러 교순님도	인삼 농사 짓는 건 보셨을 거야 더러 교수님도
그르캐 하며넌 그 심 년쭈건 해야지	그렇게 하면 그 십 년쯤은 해야지
그래도 그 수하걸 재대로 볼 쑤가 이써요	그래도 그 수확을 제대로 볼 수가 있어요
그 짜료럴 안 내뿌릴라만	그 재료를 안 내버리려면
그래 가주구 이기 씨럴 일련 키와야지요	그래 가지고 이게 씨를 일 년 키워야지요
그래 또 사년	그래 또 사년
지금 여긴 융년근 농사 여가내 안 진 몯 찜니다 여기는	지금 여긴 육년근 농사여간해서 안 짓 못 짓습니다 여기는
융년그니야 거 홍삼이죠	육 년근이야 홍삼이지요
근대 인재 여기는 뱅싸무루 다 파라야 댐니다	그런데 이제 여기는 백삼으로 다팔아야 됩니다
그라먼 그기 에 얼매 걸리나먼 융 년 걸림니다	그럼 그게 얼마나 걸리느냐하면육 년 걸립니다
융 년	육 년
융 년 걸리고 함 번 딱카먼 전부 소냄니다	육 년 걸리고 한 번 딱 하면 전부손해입니다
한 번만 암만 자래따캐도 소내여	한 번만 아무리 잘 했다고 해도 손해야
자료드러강 기개	재료 들어 간 게
근대 이걸 오래하고 수이벌 좀 더 볼라먼	그런데 이걸 오래하고 수입을 좀 더보려면
게소캐서 연자걸 해야 대넝 거여	계속해서 연작을 해야 되는 거야
게소캐서	계속해서
근대 그거뚜 또 여 여유치 아눕띠다	그런데 그것도 또 여의치 않습디다
그래서 한 심년 간 따카고 마라찌요	그래서 한 십 년간 딱 하고 말았지요
하라부지는 여기서 나서 여 이지배서 나셔서 이지배서 쭉 사셔꼬	할아버지는 여기서 나서 이 집에서 나셔서 이 집에서 쭉 사셨고
그개 그르니까 팔씸 년 여기서 사션내요	그게 그러니까 팔십 년 여기서 사셨네요
그르쵸	그렇죠
지금 연새애	지금 연세에
왱기지 아낟씀니다	옮기지 않았습니다
연새가 여드니라고 하시니까	아 연세가 여든이라고 하시니까
그 잔나비띠라고 그러셔쬬	그러니까 잔나비띠라고 그러셨죠
그러고 인재 크싱거뚜 여기서 크셔꾸 그지요	그리고 크신 것도 여기서 크셨고그렇지요
그러쵸	그렇죠
학꾜는	학교는
학꾜는 지금 여 구령초동학꾜가 인넌대 저 용산초동학꾤 댕기써요	학교는 지금여기 구룡 초등학교가 있는데 저 용산 초등학교를 다녔어요
그기 잴 먼저 설리비 대떤 학꾜요 여기넌	그게 제일 먼저 설립된 학교요 어기는
그때는 이르미 머여써요	그때는 이름이 뭐였어요
그때 그때도 동수리지요 사묻	그때도 동술이지요 사뭇
아니 학꾜 이름	아니 학교 이름
학꾜 이름	학교 이름
용산궁민학꾜요	용산 국민학교요
그때 용상궁민학꾜라캐요	그때 용산 국민학교라고 해요
일쩡 때	일정 때
진 학꾜니까	지은 학교니까
그러면 그때 면년 간 다니셔써요	그러면 그때 몇 년 간 다니셨어요
융 년뇨	육 년이요
융 년	육 년
융 녀니지요	육 년이지요
그러면 일째때 그말기나요 일째	그러면 일제 때 그 말기였나요 일제
일째 말기죠	일제 말기죠
일째 말기	예 일제 말기
오 오항년까징 거기서 다니고	오 오학년까지는 거기서 다니고
인재 참 저 일 일쩡 교유걸 바꼬	이제 참 저 일 일정 교육을 받고
일항 이래 일항년만 거 유캉년 때만항글 배우고	에 일학 일학년만그 육 학년 때만한글 배우고
조러블 해찌요	졸업을 했지요
그때는 그러면 나이가 어느 쩡도 대쓸때 다녀써요	그때는 그러면 나이가 어느 정도 됐을 때 다녔어요
그때는 연새분 드신분들도 다니고 막 그래따 그래대요	그때는 연세분 드신 분들도 다니고 막 그랬다 그러대요
그러쵸	그렇죠
장개 간 사람도 다니써요	장가 간 사람도 다녔어요
장개간 사람도 가치 다녀써요	장가 간 사람도 같이 다녔어요
하라번니문 그때 연새가 어어	할아버님은 그때 연세가
그링깨 드러갈 째 아옵쌀 때 드러간나요	그러니까 들어 갈 적에 아홉 살 때 들어갔나요
아홉 쌀 때	아홉 살 때
옌나랜 지금가치 머 일곱 쌀 여서 쌀로 아나죠	옛날엔 지금같이 뭐 일곱 살여섯 살로 안 하지요
더 느깨 가지요	더 늦게 가지요
초동학꾜	초등학교
그리구 나서 그럼 학꾜 마치구서는	그리고 나서 학교 마치고서는
학꾜 마치고부터먼 농사일 해쬬	학교 마치고부터는 농사일 했지요
농사	농사
농사일	농사일
농사일 하다가 하하 유기오 사벼니 나 가주 인재	농사일 하다가 하하 육이오사변이 나가지고 이제
구닌 가따 오고	군인 갔다 오고
전쟁언 아내씀니다	전쟁은 안 했습니다
유기오 때는 그럼 어트개 지내셔써요	아 육이오 때는 그럼 어떻게 지내셨어요
유기오 때 그 유기오가 이	육이오 때 그 육이오가 이
용사니 여기 전장텀니다	용산이 여기가 전쟁터입니다
진짜 여 아주 빽쩌늘 한 대요	진짜 여기 아주 백전을 한 데요
요거 아주 유명한 댐니다	요기가 아주 유명한 데입니다
옌날부터 이 전장이 부터따하먼	옛날부터 이 전쟁이 붙었다 하면
전장하문서 치르는 니 동내라고 그라는데	전쟁하면서 치르는 이 동네라고 그러는데
여 사람 마이 주거써요	여기 사람이 많이 죽었어요
인임군도 마이 죽꼬	인민군도 많이 죽고
여 미군두 와서 여기 주두내 가주고 전장한 대요	여기 미군도 와서 여기에 주둔해 가지고 전쟁한 데요
미군 여 유기오 때 츰	미군 여기 육이오 때 처음
저 대전하고	저 대전하고
대전서 전장하고 나면 여기 에 진찌 구추캐 가주구 여기 와서 전장한 대요	대전에서 전쟁하고 나면 여기 에 진지 구축해 가지고 여기 와서 전쟁한 데요
그래서 전장이 이러나니까 머 피라늘 앙 갈 쑤가 업쬬	그래서 전쟁이 일어나니까 뭐 피란을 안 갈 수가 없지요
그 피라널 알루 니리간다능 기 가다 가다가 저	그 피란을 아래로 내려간다는 게 가다가 가다가 저
성조 그러닝깨 낙똥강	성주 그러니까 낙동강
지금 저 왜 왜간 거 다리 끄너전 그 다리	지금 저 왜 왜관 거기 다리 끊어진그 다리
그걸 모껀내 가고 우린 대로 올라와쬬	그걸 못 건너가고 우린 도로 올라왔지요
저녕 거 내리가다봉깨 그 머 차다니 대 가주구 모까개 하니 머 할쑤 웁쬬	저녁 거 내려가다 보니까 그 뭐 차단이 돼 가지고 못 가게 하니 뭐 할 수 없지요
그래 다시 올라와 가주	그래 다시 올라와 가지고
그른대 지내다가	근데 지내다가
해복 참 저구닌더리 인재 우리 국꾼더리 이 올라와 가주	회복 참 저 에군인들이 우리 국군들이 이 올라와 가지고
그냥 그대로 살다가 이재 정시그로 가는 군대로 가쬬	그냥 그대로 살다가 이제 정식으로 가는 군대로 갔죠
제주도 가서 훌려는 바꼬	제주도 가서 훈련은 받고
그 그 유기오 때 얘기 줌 해줘 보새요	그 그 육이오 때 얘기 좀 해줘 보세요
그때 상황이 어땐는지	그때 상황이 어댔는지
상항언 여기 아주 시만 전투럴 한대라나서	상황은 여기 아주 심한 전투를 한데라놔서
이 부리 싹 이 동내가 싹 타써씀니다	이 불이 싹 이 동네가 싹 탔썼습니다
싹 타고	싹 타고
그 가따 오는 온 그 결과를 쪼꿈 얘기해 보먼	에 그 갔다오는 온 그 결과를 조금 얘기해 보면
지금 저 심무내 노근니라고 마이 나오지요	지금 저 신문에 노근리라고 많이 나오지요
노근니 사꺼니라고	노근리 사건이라고
예예예	예
이재 우리가 피란갈 때는 저짜그로 이래 도라서 철 첟 천 천날 피라넌 여덕찐동이라는대 가서 피라늘 하고 하루찌녁 자고	음 이제 우리가 피란갈 때는저쪽으로 돌아서 철 첫 첫날 피란은 여기 덕진동이라는 데 가서 피란을 하고 하루저녁을 자고
발쌔 막자꾸 인재 후태해 내리오고 이라는대 그거럴 참 기가 매킨 꼴두 보지요 우리	벌써 막 에 자꾸 이제 후퇴해 내려오고 이러는데 그거를 참 기가 막힌 꼴도 보지요 우리가
이재 이 덕찐가서 막 피란 하루찌녁카는대 임민구니 막 선발 때 와써요	이 덕진 가서 막 피란을 하루 저녁을 하는데 인민군이 막 선발대 왔어요
그 덕찐동이라는대 와써요 와써	그 덕진동이라는 데 왔어요 왔어
그래 막 지내가고 이써요 아패	그래 막 지나가고 있어요 앞에
피란미니랑 가치 지내가능 거 우리가 모껴글 하고 봐써요 우리	피란민이랑 같이 지나가는 것을 우리가 목격을 하고 봤어요 우리가
그래도 어트감니까	그래도 어떻게 합니까
자꾸 피라늘 갈 쑤배끼	자꾸 피란을 갈 수밖에요
전장은 여기서 안 안즉 아나는대	전쟁은 여기서는 안 아직 안 하는데
이재 그라고차차차차 찬차이 니리가능 거지요	그리고차차차차 천천히내려가는 거지요
우리넌 거러서	우리는 걸어서
소도 함 마리 몰고 가지 아들 등애 어꼬 지고	소도 한 마리 몰고 가지 아들등에 업고 지고
인재 그때마내두 뭐인재 초동하꾜 재우 조러파고 구닌 갈 나이는 대쓰니까	이제 그때만 해도 뭐이제 초등학교 겨우 졸업하고 군인 갈 나이는 됐으니까
머 질머지구 댕기고 아들도 가치 막 질머지고 이래 내리가찌요	뭐 짊어지고 다니고 아이들도 같이 막 짊어지고 이렇게 내려갔지요
그래 인재 우리 니리갈 때 막 점부 여기 에 전장 준비함니다	그래 이제 우리내려갈 때 막 전부 여기 에 전쟁 준비합니다
그링깨 여기넌 전장터니까	아 그러니까 여기는 전쟁터니까
야포넌 바 저 요 너매 당지그튼대 저 항간그튼대 가따포진찌 차려 노코	아 야포는 저 요 넘어 당지 같은데 저 황간 같은 데 가져다 포진지를 차려놓고
우리가 인재 전쟁하능 걸 보구 내리가능 거여 막	우리가 이제 전쟁하는 걸 보고 내려 가는 거요 막
여기 전장하넝 걸	여기 전쟁하는 걸
이 우리우리 아구니 구꾸니 포 쏘능 기 보임니다	이 우리우리 아군이 국군이 포 쏘는 게 보입니다
보이고 가서 떠러지넝 거뚜 보이고	보이고 가서 떨어지는 것도 보이고
폭파라넝 거또	폭발하는 것도
그리구 우리가 인재 자꾸 피라늘가야 살쌍부르닝깨 자꾸 내빼지요 머	그리고 우리가 자꾸 피란을 가야 살 것 같으니까 자꾸 내빼지요 뭐
그 여기서 사밀 가닝가 오 오일 간 해따카등가	그 여여기에서 삼일 간인가오 오일 간 했다고 하던가
사밀 간 해떤지 기어개 아삼푸리하내요	삼일 간 했던지 기억이 아슴푸레하네요
그래 전장얼 여기서 하고 인넌대 자꾸 니리가지요	그래 전쟁을 여기서 하고 있는데 자꾸 내려가지요
니리가서 니리가다가 인재	내려가서 내려가다가 이제
자꾸 그 인밍군드리랑 가치 니리가능 거요	자꾸 그 인민군들이랑 같이 내려가는거요
우리가 선발때랑	우리가 선발대랑
전장언 인재 여기서 하고 이꾸	전쟁은 이제 여기서 하고 있고
그래 우린 자꾸 니리가문	그렇게 우리는 자꾸 내려가면
그 총 미구 가능 기 바매넌 마리요	그 총 메고 가는 게 밤에는 말이야
그 완전 그 인밍군 푸른 복짱하구두 니리가요	뭐 완전 그 인민군 푸른 복장하고도 내려가요
가덜	걔들이
그래두 그 몯 몯 모짜바요	그래도 그 못 못 못 잡아요
가치 거러난자덜하곤 전장얼 아내요	같이 걸어가는 자들 하고는 전쟁을 안해요
가문서 자꾸 내리가기만 하지	가면서 자꾸 내려가기만 하지
그 인재 낭중애 인재 며칠 한 사밀 가닝가	그 이제 나중에 이제 며칠 한 삼일간인가
자꾸 니리가다 봉개	자꾸 내려가다 보니까
저 성주라는대까지 가써요	저 성주라는 데까지 갔어요
우리가 성주	우리가 성주
인재 피란끼를 자꾸 따라 니리 가능 거지요	이제 피란길을 자꾸 따라 내려 가는거지요
그래 벌써 인재 여긴 전장이 끈나고	그래 벌써 여긴 전쟁이 끝나고
그 인재 낙똥강 전투가 버러전다능 기요	그 이제 낙동강 전투가 벌어진다는거요
그링깨 빡 꽁수벌 하넌대	그러니까 막 공습을 하는데
피란미니 갈 쑤인나요	피란민이 갈 수 있나요
그 철거 막 끄너부렫 끄너재끼고	그 철긴 막 끊어버렸 끊어 젖히고
근대 다시 올라오는 수배끼 어트기요	근데 다시 올라오는 수밖에 어떻게
니리가덜 모다고 다시 올라와쬬	내려가지를 못하고 다시 올라왔지요
다시 올라올 때애는 인재 기름낄로 와쬬	다시 올라올 때는 지름길로 왔지요
기름낄로	지름길로
이 피라널 가따 올라오넌대	이 피란을 갔다 올라오는데
한 사흘 네리가느라고 잠 모짜고	한 사흘 내려가느라고 잠 못 자고
올라오느라구 하루 찌녁 잠 모짜고	올라오느라고 하루 저녁 잠 못 자고
이틀찌녁 잠 자멀 안 자닝깨	이틀 저녁 잠 잠을 안 자니까
거러 오는대도 자미 와요	걸오 오는 데도 잠이 와요
그럼 논뚜렁애 이래 지채가다가 푹 빠지기도 하고	그럼 논두렁에 이래 지나가다가 푹 빠지기도 하고
그런대 가족찌리 가따가 난 지비 하도 궁구매서	그런데 가족끼리 갔다가 난 집이 하도 궁금해서
찬차이 올라오라카고	천천히 올라오라고 하고
미리 미리 미리 올라오는대 그런 꼬럴 보고	미리 올라오는데 그런 꼴을 보고
그 노근니 진짜 구래 사람 주긍 걸 집쩍 모껴캐찌요	그 노근리 진짜 굴에 사람 죽은 걸 직접 목격했지요
참 마이 주거씀니다 거기서	참 많이 죽었습니다 거기서
그 양짝 구래 빡빠카개 주거가주이꼬 산 날망 삐탈까지	그 양쪽 굴에 빡빡하게죽어 가지고 있고 산 등성이 비탈까지
공수까지 해따카는대요 공수 비행기가	공수까지 했다 하는대요 공수 비행기가
이 사경만 하먼 이짜개 그 굴하고 으 이짜개 보만 사라미 중넌대	이 사격만하면 이쪽에 그 굴하고 에 이쪽에 보면 사람이 죽는데
산나무애서 주거쓰니까	산나무에서 죽었으니까
그 치우아낭 그대로죠	그 치우지 않은 그대로지요
그대로 내가 모껴칸 사라미요	그대로 내가 목격한 사람이요
그라고 지배까지 와 보고	그리고 집에까지 와 보고
지배 오니깨 머 임민 정치 하지요	집에 오니까 뭐 인민군 정치하지요
그때 막 여기 저 좌익 한 사람더리 마니 이짜나요	그때 막 여기 저 좌익한 사람들이 많이 있잖아요
그 사람더리 인재 다 머 이장도 배치가 대이꼬 막	그 사람들이 이제 다 뭐 이장도 배치가 되어 있고 막
정치럴 빨리 하드라고요	정치를 빨리 하더라고요
거 공산당덜 창 기가 매키개 짜구 항 기요	공산당들 참 기가 막히게 짜고 한 거예요
