dialect	standard
인자 저네는 나무 함지 안 인능가요 나무함지에나 인자 먿 동우에나 그런디다 양서글 좀 다마노코 인자 쪼깐썩 동냥 주데끼	이제 전에는 나무함지 있잖아요 나무함지나이제 뭐 동이에나 그런 곳에다 양식을 좀 담아 놓고 이제 조금씩 동냥 주듯이
바가치에다 인잗 함 바가치썩 퍼 줌성 우리는 머 무꼬 사꺼이냐고 당신드리 자꼬막 지버 추먼우리는 머 무꼬 사꺼이냐고 그냥 요놈 가꼬 가라고	바가지에다 이제 한 바가지씩 퍼 주면서 우리는 뭐 먹고 살거냐고 당신들이 자꾸 막집어 챙기면우리는 뭐 먹고 살거냐고 그냥 이것 가지고 가라고
영감도 주거 뿌르고 나가 저거떨 어찌 미기 살리꺼이냐고 인자 그래노먼 인자 가요	영감도 죽어 버리고 내가 저것들 어찌 먹여 살리겠느냐고 이제 그래 놓으면 이제 가요
그르고 우리는 질까찌비 되농깨로 점부 처가꼬 올라오던 사람드리 똗 점부 우리지비서 시 갈락 허여	그리고 우리는 길갓집이 돼 놓으니까 전부 쳐가지고 올라오던 사람들이 꼭 전부 우리집에서 쉬어 가려고 해
시 갈라먼 막 하이고 망 욕 뽄다고 우러매가 막 우러무니가 막 욕 뽄다고 언능날 안 세서 쎄게 올라 가라고 막 막 그래쌈서 막 홀가노먼 조타게 울 어무니를	쉬어 가려면 막 아이고 막 고생한다고 우리 어머니가막 우리 어머니가 막 고생한다고 얼른 날이 새지 않을 때 빨리 올라가라고 막 막 그래 쌓으면서 막 속여홀기다는 속이다의 뜻 놓으면 좋다고 해 우리 어머니를
그래가 디야네다 구를 파 노코 구를 파 노코 그러먼 인자 막 숭경들허고 인자숭경드리 인자 여 아무동네 발랑군 와따는 자 저그 산몬당으다 또 봉화뿌를 써요 막 부를 놔요	그래가지고 뒤꼍에다 굴을 파 놓고 굴을 파 놓고 그러면 이제 막 순경들하고 이제 순경들이 이제 이 아무 동네 반란군 왔다는 이제 저 그 산꼭대기에다몬당은 꼭대기의 뜻 또 봉홧불을 켜요 막 불을 놔요
부를 놔 놈 인자 그 동네에 인자 발랑군 와따능 거를 아라가꼬는 겡찰드리 인자 막 요 아페 쩓 듣파네 와 가꼬 그냥 총을 막 다닥닥닥 다다다다 싸먼 막 쩨께 올라가고	불을 놔 놓으면 이제 그 동네에 이제 반란군 왔다는 것을 알아가지고는 경찰들이 이제막 이 앞에 저 들판에 와가지고 그냥 총을 막 다다다다 다다다다 쏘면 막 쫓겨 올라가고
그럼 막 저 염방 그그 겡찰 숭경 와따고 저넨 숭겡 와따고 언능 승겡드리 암 막오기 저네 얼릉 가라고 막 그랜 그가꼬 보내고 그랜	그럼 막 저 계속 그 그 경찰 순경 왔다고 전에는 순경 왔다고 얼른 순경들이 막 오기 전에 얼른 가라고막 그래 그래가지고 보내고 그랬는데
언자 올쭈를 몰라요 오늘 쩌녁 저 동네로 가꺼잉가 이 동네로 오꺼잉가 보독저 산믿 큰 산미치 되농깨로 하이 검나요	언제 올 줄을 몰라요 오늘 저녁 저 동네로 갈것인지 이 동네로 올 것인지  저 산 밑 큰 산밑이 돼 놓으니까 아이 겁나요
그럼 또 발랑군 도아 줘따고 숭경드리 또 머라 안함니까	그럼 또 반란군 도와 주었다고 순경들이 또 뭐라 안 합니까
도와 주자네 주구갇 돌라가따 그래야지 우리드리 줘딱 해서는 안 되지요	도와  주는 것이 아니라 저희들이 훔쳐갔다돌라가다는 훔쳐가다의 방언형
그래가 인자 배나 머이나 인잗 배 짜서 어째 농 거 이씨문 배트레서 그냥 싹짱그라가 가부리요	그래가지고 이제 베나 뭐나 이제 베 짜서 어찌해 놓은 것 있으면 베틀에서 그냥 싹 잘라가지고 가 버려요
막 주구 다리 요롱 거 가물라 끌텅바테 댕기무 막 쑤싱깨로	막 저희 다리 이런 것 감으려고 그루터기밭에끌텅은 그루터기의 방언형 다니면서 막 쑤시니까
사네 망 나무 그렁 걷 막 끌텅이 이씽깨 그렁게 쑤시고 그렁깨로 막 인드를 막칭칭 가마가꼬 댕게요	산에 막 나무 그런 것 막 그루터기가 있으니까 그런 것 쑤시고 그러니까 막 이런 곳을 막 칭칭 감아가지고 다녀요
거 인 날 보고 아풍 거멩이로 우르 인잗 어무니가 누씨라고 그러먼 가만 누씨먼 이 머이요 금서 막 그냥 신 시는차 발로 올러 와 가꼬 막 차부리요	그 이제 나보고 아픈 것처럼 우리 이제 어머니가 누워 있으라고 그러면 가만 누워 있으면 이 뭐요 그러면서 막 그냥 신 신은 채 발로 올라 와 가지고 막 차 버려요
차부리믄 아이고 거 우리 애기가 염병을 해 가꼬 시방 가통을 해 가꼬 저레 가꼬 올 주글찌 넬 주글지 모른디 그거는 건드리지 마라고 그떼 주꺼따고 그레 그레노믄 그방에 안 드러와요 염병 오린다고	차 버리면 아이고 그 우리 아이가 염병을 해가지고 지금 가통을 해가지고 저래가지고 오늘 죽을지 내일 죽을지 모르는데 그것은 건드리지 말라고그때 죽겠다고 그래 그래 놓으면 그 방에 안 들어와요 염병 옮는다고
그러믄 배 그노믈 나 오세다가 나 몸뗑이다가 창창 이릳 막 보둠꼬 배까래 그노믈 요래 보둠꼬 막 뭘가 가머가꼬 요래가꼬 우아기로 요론 먼 인잗 남자들 먼 오슬 항 개요래 둘러 씨고 막 거짐말로 우러요 엄마 아이고 아파 주꺼써 그럼스로 울고 이씨먼 조용히 해 그러거 엄마 엄마 그러고 이씨믄  저네는 어메라 그래끄등	그러면 베 그것을내 옷에다가 내 몸뚱이에다가 칭칭 이렇게 막 안고보둠다는안다의 방언형 베 가래 그것을 이렇게 안고 막 뭘 가지고 감아가지고 이래가지고 윗옷을우아기는 윗옷의 일본말 이런 무슨 이제 남자들 무슨 옷을 한 개 이렇게 둘러쓰고 막거짓말로 울어요 엄마 아이고 아파 죽겠어 그러면서 울고 있으면 조용히 해 그러고 엄마 엄마 그러고 있으면 웃음 전에는 어메라 그랬거든
응  어메 아이고 주껀네 머리가 아파 주껀네 배가 아퍼 주껀네 그래노먼 그 방에 드  로도 안 해요	엄마 아이고 죽겠네 아파 죽겠네 배가 아파 죽겠네 그래 놓으면 그 방에들어오지도 않아요
인자 막 도꼬 인자 먿 몬 또린 놈드른 인자 막 그래도 소양업씨 막 디비고 그래가	이제 막  이제 뭐 못 훔친 놈들은 이제 막 그래도 소용없이 막 뒤지고디비다는 뒤지다의 방언형 그렇게 가
그래가꼬 멀 처덥꼬 이래가꼬 막 이래가꼬 안자씨먼 그러고 가고 또 우리 이우자애기 몬 논는 아지메가 하나 이써서 또 우리 지비 그 아지메 인자 아재가 인자 사네로 인자발랑군 와따 허먼 인자 투막투막 새로 머쓴장 울타리 꾸녕도 해 노코 먿또 해 노코 막 뒤에 올라 가는 지를 맹그라노코 싹 남자드리 막 뉘 지베 하나 와따고 거시기나 헝개 잠도자도 모도 시우자믈 자고 그래요	그래가지고 뭘 마구 덮고이래가지고 막 이래가지고 앉아 있으면 그렇게 가고 또 우리 이웃에 아기 못 낳는 아주머니가 하나 있어서 또 우리 집이 그 아주머니아지메는 아주머니의 방언형 이제 아저씨아재는 아저씨의 방언형가 이제 산으로 이제 반란군 왔다 하면 이제 듬성듬성투막투막은 듬성듬성의 뜻 사이로 뭐 이제 울타리 구멍구녕은 구멍의 방언형도 해 놓고 뭐도해 놓고 막 뒤에 올라가는 길을 만들어 놓고 싹 남자들이 막 누구 집에 하나 왔다고 뭐나하니까 잠도 자지도 못하고 새우잠시우잠은 새우잠의 방언형을 자고 그래요
그래가꼬 발랑군남세 몬 사라서 그러다가 자 일녀니 너머가가꼬 이년 인자 새년 인자 사뭘때리 데서 모도 하꾜르 드리가고 그러는디 인자 긍근 업써가꼬 우리 크노빠르 그를 몬 겔차따네요 쩨깐헌 깔땀사리로 내창 줘서 인자 새겡을 바다무꼬 인자 음서가꼬 인자 그랜는디	그래가지고 반란군 때문에 못 살아서 그러다가이제 일년이 넘어가가지고 이년 이제 새해새년은 새해의 뜻 이제 삼월이 돼서 모두 학교를르는 를의 방언형 들어가고 그러는데 이제 근근이 없어가지고 우리 큰오빠를 글을못 가르쳤다네요 조그마한 꼴머슴깔담사리는 꼴머슴의 뜻으로 계속 줘서 이제 새경을받아 먹고 이제 없어가지고 이제 그랬는데
우리 언니드리 너인디 팔람맨디 우리 오빠드리 너이 언니 인자 우리 여여 여동우가니 너이 그랜 우리 언니가 가이네 따리 너이나 뎀서 하나도 조럽쌍 항 개도 엄따고인자 나를 하꾜를 가라고 인자 그랜 새로 드르가 새로 드르 간다고 핸는디 우로빠 가이네가 글 귿 빼워가 머허꺼이냐고 나도 글 모빼와따고 가지 마라 그래	우리 언니들이 넷인데팔남매인데 우리 오빠들이 넷 언니 이제 우리 여동기간이 넷 그랬는데 우리 언니가 계집애 딸이 넷이나 되면서 하나도 졸업장 한 개도 없다고 이제 나를 학교를 가라고 이제 그랬는데 새로 들어가 새로 들어간다고 했는데 우리 오빠가 계집애가 글 그것 배워서 뭐 할거냐고 나도 글 못 배웠다고 가지 말라 그래
그래가꼬 인자 하꾜를 몬 뜨러가 그냥 조캐들만 키우고 사라써	그래가지고 이제학교를 못 들어가 그냥 조카들만 키우고 살았어
여 유기오떼가 그믄 제일 힘들게 사션네요이	음 여 육이오 때가 그러면제일 힘들게 사셨네요
그래가 글 모빼웅 거 인자 동네 인자 청년드리 인잗 난중에 글 겔춘다고 허고또 임밍군드리 막 오그 거그에 또 여그 막 밀려가꼬 거세 해써요	그래가지고 글 못 배운것 이제 동네 이제 청년들이 이제 나중에 글 가르쳐 준다고 하고 또 인민군들이 막 오그거기에 또 여기 막 밀려가지고 거시기 했어요
또 임민군드리 처으메는 와 가꼬 유기오때 그 때는 임민군드리 우리를 글 겔춘다고	또 인민군들이 처음에는 와가지고 육이오 때 그때는 인민군들이 우리를 글 가르친다고
그레요	아 그래요
동청에다가 칠파늘 부치노코 그를 개우고 저네 머 한수발 눈 바라마 이야기하라그 일 저 이붕 노래	마을회관에다가 칠판을 붙여 놓고 글을 배우고개우고는 배우고의 잘못된 발음 전에 뭐 한수발 눈 바람아 이야기하라 그 일 저이북 노래
그런 노래를 겔차 주고 그래가꼬는 난주에는 엗 인잗 발랑구니 인자 쬐께 가고나서는 인자 또 청년드리 인자 겔춘다고 해 가꼬 거그서 좀 배우고 그래가꼬 그 이름짜라도알지요 글도 몰라요	그런 노래를 가르쳐 주고 그래가지고는 나중에는 에 이제 반란군이이제 쫓겨 가고 나서는 이제 또 청년들이 이제 가르친다고 해가지고 거기서 좀 배우고 그래가지고 그 이름자라도 알지요 글도 몰라요
인민군드리 갈처중 거슨 주로 노레가틍 거 갈처조써요	인민군들이 가르쳐 준것은 주로 노래 같은 것 가르쳐 줬어요
노래도 겔차주고 막 그래써요	노래도 가르쳐 주고 막 그랬어요
글짜도 알켜주고	글자도 가르쳐 주고
글도 겔차주고 노래도 겔차주	글도 가르쳐 주고  노래도 가르쳐 주
겔차주고 응 노레가 지금까지 또 기어기 나네요이	가르쳐 주고 응 노래가 지금까지 또 기억이 나네요
쩨깐빼끼는 몰라요	조금밖에는 몰라요
우 첨 아피 머 처으메가 머잉고 제목또 모르고	우 첨 앞에 뭐 처음이 뭐인지제목도 모르고
벨지슬 다 해찌요이	별짓을 다 했지요
그래가 저녀그로도 글 배우로 가허고 인자 에리서는 글 배우로 가고 그라핸넌디인자 좀 커서는 울 아부지가 구싱 영가미 되야가꼬 바람난다고 또 나가도 몯 허게 해요	그래가지고 저녁이면 글 배우러 가고 이제 어려서는 글 배우러 가고 그리했는데 이제 좀 커서는 우리 아버지가 구식 영감이 되어가지고 바람난다고 또 나가지도 못하게 해요
아버지랑은 주로 농사 지션나요	음 아버지랑는 주로 농사지으셨나요
인자 울 오빠들 싹 구니네 재피가고 인자 도피헌다고 인자 어디로 더그 서섬나라에 그런 디 가서 머 강원도 우리 세쩨 오빠는 강원도 머 무코당가 거그 가가꼬 또 오징에뺃 딷 타로 따라댕기다가	이제 우리 오빠들 싹 군인에 잡혀가지고 이제 도피한다고 이제 어디로 저기 서 섬나라에 그런 데 가서 뭐 강원도 우리 셋째 오빠는 강원도 뭐 묵호인지 거기 가가지고 또 오징어배 타러 따라다니다가
인자 함 번썩 호까다 함버썩 오믄 그냥 오징에 수류미 몰륭 거	이제 한 번씩 어쩌다 한 번씩 오면 그냥 오징어 오징어수류미는 오징어의 일본말 말린 것
그걸 그냐 한 춤썩 가오문 막 이이이가 아푸드륵 씨버무꼬 나문 막 설싸가 그거또 마니 무긍깨 설싸가 나데요	그걸 그냥 한 축씩 가져오면 막 이 이 이가 아프도록 씹어 먹고 나면 막 설사가 그것도 많이 먹으니까 설사가 나데요
막 설싸를 마니 하고 그래써요	막 설사를 많이 하고 그랬어요
그나 울 옵 울 아부지허고 나허고 인자 살리믈 산다고 살고 메느리 데꼬 드레몬 나가고 긍깨 맨마던 나만 인자 울 언니드른 다 시집 가뿌리고	그러나 우리 아버지하고나하고 이제 살림을 산다고 살고 며느리 데리고 들에 못 나가고 그러니까 만만한 나만 이제 우리 언니들은 다 시집가 버리고
만날 소 미기고 머 소 질드려 가꼬 포돕씨 인자 소 질 떠러지먼 세양치 섣 하동장으 가서 바까 큰 세 인자 포라 무거 뿌리고 소앙치 함 마리 몰고 오먼 또 우라부지 그거 질 드린다문 또 나가 아페 끄야 되요	만날 소 먹이고 뭐 소 길들여가지고 겨우 이제 소 길나면 질떨어지다는 길나다의 방언형 송아지세양치는 송아지의 방언형 하동장에 가서 바꿔 큰 소세는 소의 방언형 이제 팔아 먹어 버리고 송아지 한 마리 몰고 오면 또 우리 아버지 그것 길들인다면 또 내가 앞에 끌어야 돼요
끄꼬 댕김스롱 인자 이라 허문 인자 따라서 댕기다가 인자 지리 얼추 떨러질라허문	끌고 다니면서 이제 이랴 하면 이제 따라서 다니다가이제 길이 얼추 나려 하면
밀바테나 보리바테나 나가 수머뿌라 그래요 우리 아부지가	밀밭에나 보리밭에나 나가서 숨어 버려라 그래요
수머 뿌리라 해서 어디 수머 뿔먼 누늘 흘금허이 아페 오다가 채리보고는 울아부지를 막 훌쳉이차 꿀꼬 나헌티로 쪼차 오고  소가	숨어 버려라 해서 어디 숨어 버리면 눈을 흘금거리며 앞에 오다가 쳐다보고는 우리 아버지를 막 극젱이채훌쳉이는 극젱이의 방언형 끌고 나한테로 쫓아 오고 웃음소가
그르고 세상을 살고	그렇게 세상을 살고
그레 인제 부모님들 농사 진능 걸 도와 주시고	음 그래 이제 부모님들 농  사짓는 걸 도와 주시고
또 공출 일본 싸람들 인자 논	또 공출 일본 사람들 이제 논
그거 인자 어더 가고 지이 노으먼 저네 우라 인자 우리는 모르제마는 우리 언니드른 인자 우리는 나으 느께 나농깨 그르찌마는 일본 싸람들 노늘 인자 울 아부지가 일본싸람들 미테 가서 일도 해 주고 인자 그렁 거를 허고 사라노 가서 살다가 또 인자 너무집도 살다가 그래농깨 일본 싸람드리 노늘 줘서 그거를 인자 적싼지 노니라고 그러데요그걸 보고	그것 이제 얻어가지고 지어 놓으면 전에 우리 이제 우리는 모르지마는 우리언니들은 이제 우리는 늦게 낳아 놓으니까 그렇지마는 일본 사람들 논을 이제 우리 아버지가 일본 사람들 밑에 가서 일도 해 주고 이제 그런 것을 하고 살아 놓 가서 살다가 또 이제남의집도 살다가 그래 놓으니까 일본 사람들이 논을 줘서 그것을 이제 적산지논이라 그러데요 그걸 보고
일본싸람 노늘 줘서 인자 그노믈 공추를 가꼬 인자 농사를 지여가 공추를 해서 인잔 수를 가파요 논 노늘 논쑤를 가파요	일본 사람 논을 줘서 이제 그것을 공출을가지고 이제 농사를 지어가지고 공출을 해서 이제 수를 갚아요 논 논을 논 수를 갚아요
그르믄 인젇 또 가마니트를 해 노코 가마이 짜는디 울 아부지는 뚜드리고 인자요리 인자 지플 하날하날 요리 미기주믄 울인자 또 한쪼게서 우롤 인자 올케 올케더리나 언니가 인자 요리 자버댕기고 나느 요리 미기주고 그래가 가마니 짜 가꼬 인잗 근대 낼라고 사나쿠도 인자 토꼬게 까요	그러면 이제 또 가마니틀을 해 놓고 가마니 짜는데 우리아버지는 두드리고 이제 이리 이제 짚을 한 올 한 올 먹여 주면 울이제 또 한쪽에서 우리 올 이제 올케 올케들이나 언니가 이제 이리 잡아당기고 나는 이리 먹여 주고 그래가지고 가마니 짜가지고 이제 무게가 나가도록 새끼도사나쿠는 새끼의 방언형 이제 특특하게톡허다는 특특하다의 뜻 꽈요
그래가 가마니 뭉꺼 가 그걸 인자 여 지그믄 머 기게가 쌔씅깨 그러지만 저 몬당 찌빈디 여그 성그장써 한지락꺼지 또 저나야 되요	그래가지고 가마니 묶어가지고 그걸이제 여 지금은 뭐 기계가 쌨으니까 그렇지만 저 꼭대기집인데 여기 섬거장섬거는 지명에서 한지락까지 또 져 내야 돼요
공추를 헐라믄 그 일본싸람 논 수를 줄라믄 그걸 보고 적싼지 노니라 그럼서 그  수를 인자 줄라믄 어째뜽가네 우리 처자때꺼정 그 논 쑤를 가파써요	공출을 하려면 그일본 사람 논 수를 주려면 그걸보고 적산지논이라 그러면서 그 수를 이제 주려면 어쨌든우리 처녀 때까지 그 논 수를 갚았어요
그레요	그래요
그니깐 일본싸람 간 뒤에도	그러니까 일본 사람 간 뒤에도
그믄 그 그 노늘 인제 바드셔꾸마니요 인자이	그러면 그 그 논을 이제 받으셨구먼요 이제
그 노느리	아 그 논을
인자 쓰 농사를 지여 가 인자 해마동 인자 감능 거이라요 인자 말하자믄	이제농사를 지어가지고 이제 해마다 이제 갚는 거예요 이제 말하자면
긍께 소유는 인제 귿 가께 되찌요 그건	그러니까 소유는 이제 갖게 되지요그건
그러가 인자 인자 난중에 인자 해방 되고는 인자 우리 우리 아푸로 도라저찌요	예 그래가지고 이제 이제 나중에 이제 해방 되고는 이제 우리 우리 앞으로 되었지요
그거이 영거이 인자 그래가 열딴 마지기	그것이 영구히 이제 그래가지고 열닷마지기
열딴 마지기	열닷 마지기
노니 되꼬이	논이 됐고
그라농께 어찌 해뜽가네 그래도 인자 노니 논 썸지기가 데지요	그래 놓으니까어쨌든 그래도 이제 논이 논 섬지기가 되지요
