dialect	standard
파라비리고 지금거트머 안파라시먼 그어가 갑씨 얼매나 마느낀데	팔아 버리고 지금 같으면 안 팔았으면 값이 얼마나 많을 건데
그래가꼬언자 그 친척땅을 어더각꼬	그래 가지고 인제 그 친척 땅을 얻어 가지고
자이가 여거 오고십따 해각꾜	자기가 여기 오고 싶다 해 가지고
그래각꼬언자 지거 지각꼬 사라요	그래 가지고 인제 자기  지어 가지고 살아요
혼차 사라 혼차 아드른 부산익꼬 할머미 주거비리농께	혼자 살아 혼자 애들은부산 있고 할멈이 죽어 버려 놓으니까
그러쿠나	예 그렇구나
술도 안잡수고 머 망구 얌전치 사람도	술도 안자시고 뭐 만고에 얌전하지 사람도
그인자 먼족가느로 오빤디	그 인제 먼 집안 사이로 오빤데
그러타 그래 드러서예 예예	그렇다 그렇게 들었어요예
제가 여와서 할머이하고 그런다캉께 우리 성자가 캄시로 마	제가 여기에 와서 할머니하고 그런다고 하니까 우리 성자가라고 하면서 마   연방 내가 오빠라 하득끼아 웃음 연방 내가 오빠라 하듯이
그러캅띠더 예예	예 그렇게 말합디다예
이 마으리 펭사리 상펭아임니까이	이 마을이 평사리 상평이잖습니까이
그 상펭이 와 상펭이지카는지 그 혹시머 이유가 이슴니까 드러  머 이유보당도 고양 고마 이리	
머 이유보당도 고양 고마 이리	뭐 이유보다도 그냥 그만 이렇게
펭사리라고 상펭이라고 이 동네 이르미 모도 상펭 하펭	평사리라고 상평이라고이 동네 이름이 모두 상평 하평
전시니 그리그리 익꺼등요	전신에 그렇게 그렇게 있거든요
대촌 머 소징이 그리딕끼	대촌 뭐 소징이 그렇듯이
그래각꼬 그리 이르미 그리 지전는갑떼요	그래 가지고 그렇게 이름이 그렇게 지어졌는가 보데요
구래가고 구루지 머 구렁거 내 모리지 재사히 자세히그래 가지고 그러지 뭐 그  런 것 내 모르지 자세히 자세히  예	예
나기마 여 나서 머 냅 내 거스게 지금 이리 사능기지	나기만 여기에서 나서 뭐내 내 거슥에 지금 이리 사는 게지
여 디예 봉께언자 여 지리산 미테아임니꺼이	여기 디에 보니까 인제 여 지리산밑에잖습니까이  예예
여 산 이름 머 이린이렁꺼 이슴니까	여기 산 이름뭐 이런 이런 것 있습니까
저거는 머 바구리봉이라 허고 저네 어른드리 저쭈게 저 강건네	저기는 뭐 바구리봉이라 하고 전에 어른들이 저쪽에 저 강 건너
파구리봉이라 허고 머	바구리봉이라 하고 뭐
절라도라 허고 지금 우리가 그러고 읻찌요	전라도라 하고 지금 우리가 그러고 있지요
또 디 여 또 산 이르믄 머	또 뒤 여기에 또 산 이름은 뭐
여거 여여 헹지봉	여기 여기에 여기에 형제봉
여 마다아 나가모 막 봄데모 꼬치	여기에 마당에 나가면 막 봄 되면 꽃이
그얻 그슥꼬치 벌거리 핀먼 비이는디 여거 마당에서	그것 그슥 꽃이 벌겋게 피었으면 보이는데 여기 마당에서
진달래	진달래
진달래	예 진달래
그 막 행사한다 아임니까	그 막 행사하잖습니까
네헹제	네헹제
헹지봉	예 형제봉
헹지봉 거 마 진달래 벌거리 피머 사머레	형제봉 거기에 마 진달래 벌겋게 피면 삼월에
사멀 얼쭈 다가몽 날로 바다각꼬 나리읻써요 그래각꼬 막 거	삼월얼추 다 가면 날을 받아 가지고 날이 있어요 그래 가지고 막 거기에
술 머 떡 막 음석마이 해가가서	술 뭐 떡 막 음식 많이 해 가지고 가서
거가서 막 지새모시고 해요 해긴해마덕	거기에 가서 마 지사 모시고 해요 하긴해마다
그러모 바구리봉이고 헹지봉이고	그러면 바구리봉이고 형제봉이고
요 고소성	요기에 고서성
어어 예	어 예
고소성 고소성 여 유명헌딘디	고소성 고소성 여기에 유명한 덴데
우째 유명함니까	어떻게 유명합니까
거가시머 그래거햐 안주 온제가 얼매안데고 거 함문 가시야데낀데 선생니미	거기에 가시면 그래 거기에 햐 아직 온 지가 얼마 안 되고 거기에 한 번 가셔야될 건데 선생님이
허 저네요 마리 어른드리 허는디	허 전에요 말이 어른들이 하는데
이 마리자마 할매드리 치매다 도를 싸각꼬	이 말하자면 할머니들이 처마에다돌을 싸 가지고
그거 말또 데다안허지마는 치매다 싸각꼬 읻 읻	그것 말도 되지도 안하지마는치마에다 싸 가지고 이 이
다무라글 싿때요 치매다 도를 싸각꼬	담벼락을 쌓았대요 치마에다 돌을 싸 가지고
돌싸가 그러타고 구리 이야글 허고 어른드리	돌을 싸서 그렇다고 이야기를 하고어른들이
지그므요 저네끼언자 쌍마 무너젇꺼등뇨 너무너무 오래대농께	지금은요 전에것이 인제 싹 마 무너졌거든요 너무너무 오래 돼 놓으니까
오래대농께 무너저각꼬	오래 돼 놓으니까 무너져 가기고
항정업시 여거서느요 암보잉께그런디 저 딱 올라가시모	한정없이  여기에서는 여기 안 보이니까 그런데 저기에 딱 올라가시면
그 정무니 익꺼등뇨 저거도 그	그 정문이 있거든요 저기도 그
가머요 항정업시 널러요 둥구룸허이 마	가면요 한정없 넓어요 둥그스름하게 마
그러구 구예 한해언자 저접	그리고 거기에 한 해 인제 저 저
펭사리상에서 정심해섣 아지그로 일꾼들	평사리상에서 점심해서 아침으로 일꾼들
싸가꼬 자기드리언자 실코가고 차에 실코가고 막 가가서 뭉는다고	싸 가지고 자기들이 인제 싣고 가고 차에 싣고 가고 막 가지고 가서 먹는다고
수리고 머이고 가가고	술이고 뭣이고 가지고 가고
그 싹 새로 고만	그 싹 새로 그냥
큰 도를 각꼬 고만	큰 돌을 가지고 그냥
저 큰 돌 저렁걸 각꼬 우찌그리 싼능고 몰라	저 큰 돌 저런 걸 가지고 우떻게그렇게 쌓았는지 몰라
너무너무고마 뺑둘러서 그냥 자리도 너린 자리예	너무너무 그냥 뺑 둘러서 그냥 자리도 너른 자리에
너무 먿찌기 싸낟서요 지금	너무 멋지게 쌓아 놓았어요 지금
저 고소성에 하문 언제 가시야데낀데	저 고소성에 한 번 언제 가셔야 될 건데
가낌니더	갈 겁니다
하문가서 구겡허시지	예 한 번 가서 구경하시지
그 너르기가 요치모 어느정도 뎀니까 요요욛 펭지로 치몬녜	그 너르기가 요기 치면 어느 정도 됩니까 요요 요 평지로 치면요
펭지로 치모막 요거막 이리막 저가이로 이거먹 가이로 이걷뽀당 이거 쫍찌	평지로 치면 막 요것 막 이리 막 저 가로 이것 막 가로 이것보다 이것 좁지
저 바꾸로 나가야지	저 밖으로 나가야지
오 그 정돔니까	오 그 정도입니가
항정업시 커요	한정없이 커요
그럼 하리종일 도라도 다 몯똘미까	그러면 하루종일 돌아도 다 못 돕니까
아이구 왜 몯또라요 도지 하리는 도지	아이구 왜 못 돌아요 돌지 하루는 돌지
하리는 돌고	하루는 돌고
스 엔나레 요 성싸	스 옛날에 요기에 성 쌓
그리 조키성	그렇게 좋게성
누가 적군하고 치드러오몬 그 싸운다꼬 그지예 성싸안데	누가 적군하고 쳐들어오면 그 싸운다고 그죠 성 쌓은 데
예 예	예예
그래 그랜는디 그기 저네꺼는 사 무너지고	그래 그랬는데 그게 전에 것은 싹무너지고
야파농께 야파농께 고만	얕아 놓으니까 얕아 놓으니까 그냥
다시 한해 언제 저네	다시 한 해 언제 전에
그 조은 돌로가꼬 고마	그 좋은 돌을 가지고 그냥
임부도 항정업시 드럳찌 그렁께 그래 싸장께	인부도 한정없이 들었지 그러니까그렇게 쌓으려 하니까
그래가꼬 멛딸로 해각꼬	그렇게 해 가지고 몇 달을 해 가지고
영 조키 싸낟써요 찌금	아주 좋게 쌓아 놓았어요 지금
그 소게는언잗 꼬사리가 나고 도리도리허이 긍게 그 꼬사리 끄느러 지금	그속에는 인제 고사리고 나고 둥그스럼하게 그러니까 그 고사리 꺾으러 지금
봄데머 사람드리 가는사람 만날 그가 끄너오지	봄 되면 사람들이 가는 사람 만날 거기에 가서 꺾어 오지
저네는 그 성에 막 꼬사리가 억수로 탐직꺼등뇨	전에는 그 성에 막 고사리가 억수로 탐스럽게 자랐거든요
그 도리도리허이 뿌리인는디 나는디	그 동그스럼하게 뿌리 있는 데 나는데
할머이 어제 또 소미이러 간다칼떼가 그어미까	할머니 어제 또 소 먹이러 간다고 하는 데가 거기입니까
소 미인는디는언자 그거 미테	소 먹였는 데는 인제 그것 밑에
미테언잗 지리 졸 읻찌 지금도	밑에 인제 길이 졸 있지 지금도
그너메막 항정업시막	그 너머에 막 한정없이 막
지그므 밤나무가 마이 시머가꼬	지금은 밤나무가 많이 심어 가지고
막 그느리고 머이막 착착허지마 저네는 하무걷또 업꼬고마 사니그마 번번해농께	막 그늘이고 뭣이 막 착착하지만 전에는 아무것도 없고 그냥 산이 그냥 펀펀해놓으니까
소를고마 몰꼬나가모고마 그따가마 지버내비리요 사람마덤	소를 그냥 몰고 나가면 그냥 거기에다가 마 내버려둬요 사람마다
지버내비리머 주구가 맏때로 대임서 뭉능기라언자 칭니파를 칭니파를	내버려두면 자기가 맛대로 다니면서 먹는 거야 인제 칡이파리를 칡이파리를
쎄떼기도 칭니파리고 저네 사네 이서농께	억새고 칡이파리고 전에 산에 있어 놓으니까
그래가 미가꼬언자 해너머가머마 세차즈러가자 해가꼬 마 온천지로언자	그래가지고 먹여 가지고 인제 해 넘어 가면 마 소 찾으러 가자 해 가지고 마 온천지로인제
소갇따 내비리머 점심묵꼬가서 그마 꼬빼이 나비리머	소 가져다 내어 버리면점심 먹고 가서 그냥 고삐 놓아 버리면
소는 주구대로언자 대임서 묵꼬 놀고	소는 자기대로 인제 다니면서 먹고 놀고
또 우리는 우리대로 놀고 콩돌죽끼허고막 바구미테서	또 우리는 우리대로 놀고공기놀이하고 막 바위 밑에서
언자콩줄둑끼노오네 아까는 암말띠 안하실라카더마는	인제 공기놀이 나오네 아까는 아무 말도 안 하실라고 하더만은
콩돌죽끼허고 소미로 가서	공기놀이하고 소 먹이러 가서
언자 그래 놀고 그래가꼬언자 해가지모 또 지베와야 뎅께 소거걷	인제 그렇게  놀고 그래 가지고 인제 해가 지면 또 집에 와야 되니까 소 그것
집쩜 소로언자 싹언자 막 차즈로가지 온천지 흐치농께	각자 소를 인제 싹 인제 막 찾으러 가지 온 천지 흩어 놓으니까
소가 온사네 흐치비리농께	소가 온 산에 흩어져 버려 놓으니까
소가 도망 앙감니꺼	소가 도망 안 갑니까
언자 어쩔라치모 고마 읍서요 소가	인제 어쩌다 보면 그냥 없어요 소가
저너머로 고만 너머사느로 가비리고	저 너머로 그냥 남의 산으로 가 버리고
그러머 찬니라고 시껍뭉능기라 정때 내 마 나낟따가	그러면 찾느라고 아주 고생하는 거야 저녁 때 내 마 놓아 놓았다가
그래가꼬 착꼬 날리로 지고 그래언자 차자가꼬언자 오고	그래 가지고 찾고 난리를 치고 그래 인제 찾아 가지고 인제 오고
그래	그랬
그 소 나뚤때 소꼬빼이는 무껃 그대로	그 소 놓아 둘 때 소 고삐는  묶어 그대로
고마 지대로 고마 나비리요	그냥저대로 그냥 놓아 버려요
말고 소꼬빼이 푸러줌니꺼 소꼬빼이 이씀니꺼	말고 소 고삐 풀어 줍니까 소 고삐 있습니까
고마 나도비리요	그냥 놓아 둬 버려요
그라모 소가 어데	그러면 소가 어디
언자 걸리고	인제 걸리고
나무걸리모 이라모 뺑뺑 감기모 크닐나는데	나무에 걸리면 이러면 뱅뱅 감기면 큰일 나는데
하 그런다고어자 그렁께 자주 보지 소를	아무렴 그런다고 인제 그러니까자주 보지 소를
직쩜 소를 요리 꼬빼이 저거머이고 어디 갱긴능가 보자 허곧똗 초차가서	각자 소를 요렇게 고삐 저것 뭐니 어디 감겼는가 보자 하고 또 쫓아가서
갱기모 요리요리요 막 요리 쪼끄만헌 나무예 요리요리 갱기거든	감기면 요리 요리 요 막 요리 조그마한 나무에 요리 요리 감기거든
요리 꼬피거등 새끼 그	요리 꼽히거든 새끼 그
그기마 요리요리 허머마 가서언자 요리 푸러주고	그게 마 요리 요리 하면 마 가서 인제 요리 풀어주고
소가 저도 어릴때언자 소를 마이 민는데	소가 저도 어릴 때 인제 소를 많이 먹였는데
예예	예 예
이넘 나뚜모 걸리뿌모 이너미 뺑뺑돌고 나중에	이놈 놓아 두면걸려 버리면 이놈이 뱅뱅 돌고 나중에
그렁께요	그러니까요
그렁께 크닐나	그러니가 큰일 나
그래가꼬 이기이게 모가지가 걸리삔다고예	그래 가지고 이게 이게 모가지가 거려 버린다고요
예예	예 예
크닐나	큰일 나
크닐남니다 그래서 우리는	큰일 납니다 그래서 우리는
그렁께로 자주 바	그러니까는 자주 봐
거서 아예 소꼬삐 요요 코뚜리예서 빼가지고	거기에서 아예 소 고삐 요 요코뚜리에서 빼어 가지고
빼가지고	아 빼어 가지고
나뚜고 그 소가 순해가이고	놓아 두고 그 소가 순해 가지고
고러머 나주 우째 차 저기 여자드리 우찌 구굴 자바 오끼라	그러면 나중에 어떻게 찾 저기 여자들이 어떻게 그걸 잡아 올 거야
에 여자들만 감니꺼 남자들도 다  가는데	에 여자들만 갑니까 남자들도 다 가는데
애드리라도 다 강께	애들이라도 다 가니까
그렁께 구래도 우리는 꼬빼이 안허고맏 꼬빼이조차 나나비릳스	그러니까 그래도 우리는 고삐 안 하고 마 고삐조차놓아 놓아 버렸어
꼬빼이조차	고삐조차
진꼬빼이 마 몰꼬 가각꼬	긴 고삐 마 몰고 가 가지고
그런데 우리는언자 그 마 사네가서 니 마음대로 띠라 이 꼬빼이꺼지 딱 푸러노코	그런데 우리는 인제 그 마 산에 가서 네 마음대로 뜯어  이 고삐까지 딱 풀어 놓고
그렁게앙 그슥허라고	그러니까 안 안 그슥하라고
안 걸리라고	걸리지 말라고
으응	응
그람 저 성은 운제 싸앋따 캅디꺼 옌나레 오새 싸응거말고 엔나레 싸은 성은	그러면 저 성은 언제 쌓았다고 합디까 옛날에 요새 쌓은 것 말고 옛날에 쌓은 성은
아이고 머 멛 뱅년뎅걷또 모리지요	아이고 뭐 몇 백 년 된 것도 모르지요
그렁걷또 나 몰라 그렁거	그런 것도 나 몰라 그런 것
그야마	그야말
그라머 거게	그러면 거기에
그리 읻따 그거마 알지	그렇게 있다 그것만 알지
산성이 읻따 그지예	산성이 있다 그죠
고소성	고소성
고스승	고소성
고소승	예 고소성
고소승 거이다 소문난딩가 아마	고소성 그게 다 소문난 덴가 아마
앙그래도젇	안 그래도 저
그 보고 내요기 이렁기 이서	아 보고 내요기에 이런 게 있었
장녀네도 안 오슴니까이	작년에도 왔잖습니까이
그렁께	그러니까
완는데도 몽가보고 이래가	왔는데도 못 가 보고 이래서
그렁께 거가 큼맘묵꼬 고마 역뿌로 쭉 가시야지	그러니까 거기에 가 큰맘 먹고그냥 일부러 죽
먿 그그 시언차이 맘묵꼬는 몬가시지	머 그 그 예삿마음 먹고는 못 가시지
아 심 신차이 마이묵꼬는 목깐다이	아 예사 예사 마음 먹고는 못 간다이
큼마으믈 묵꼬 탁고마 나서비야지	큰 마음을 먹고 탁 그냥 나서 버려야지
그라머 고소성하고	그러면 고소성하고
저 한산사하고는 머슨강게가 이슴니꺼	저 한산사하고는 무슨 관계가 있습니까
한산사 고서성 거거 성아네	한산사 고소성 거기 성 안에
아레도 얘기핻찌마는 성아네 거거 저네	그제도 얘기했지마는 성 안에 거기전에
여 이 마을 사래미 저거 머이고	여기에 이 마을 사람이 저기 뭐니
지블 조고만허이 저를 짇써요	집을 조그마하게 절을 지었어요
거 승 아네다가	거기 성 안에다가
볼래	본래
예예  성 아네다가 조고만허이 지블 지각꼬 자기가 왇따갇따언자 허고	
성 아네다가 조고만허이 지블 지각꼬 자기가 왇따갇따언자 허고	성 안에다가 조그마하게 집을 지어 가지고 왔다갔다 인제 하고
여여 요동네 사래민디 그리 허다가	여기 여기 요 동네 사람인데 그리 하다가
고마 지그믄 저머머 슨샘 사는디 머이고 마사니가 머 거 산다더냐 어쩌다 생저  네 여거 아노니까 그 사래미	그냥 지금은 저기에 뭐 뭐 선생님 사는 데 뭐니 마산인가 뭐 거기에 산다던가 어쩐다던가 생전에 여기 안 오니까 그 사람이
그 중이 데각꼬 그 사래미 거 조그만허이 지각꼬	그 스님이 돼 가지고 그 사람이 거기에 조그만하게 지어 가지고
그걸 뜨드다가 여 한산사다 똗 짇써요	그걸 뜯어다가 여기에 한산사에다 또 지었어요
그라모 요거는	아 그러면 요것은
그사래미 안헌당께	그 사람이 안 한다니까
요거는 성바끼다 그랑께 그지예	요것은 성 밖이다 그러니까 그죠
요거느 하모 믿테 내러와승께	예 요것은 아무렴 밑에 내려 왔으니까
성은 저 우게고예	성은 저 위에고요
고건 절 우에지	예 고기는 절 위에지
볼래는 절 가운데 그저 성 가운데 저리 이섣다이	본래는 절 가운데 그 어저 성 가운데 절이 있었다이
거고맘 하모 머머머 중가네 고만 거 하낟 안차각꼬 그사래미	거기에 그냥 아무렴 뭐 뭐 뭐 중간에 그냥 거기에 하나 앉혀 가지고 그 사람이
중잉께	스님이니까
기양 잉간헌 중잉께 기양 자기가 거 지블 지각꼬	그냥 웬만한 스님이니까 그냥 자기가 거기에 집을 지어 가지고
거거서 기도 디리고	거기에서 기도 드리고
믿해 읻따가 고마인잔 안헌다고 나와비리찌	몇 해 있다가 그냥 인제 안 한다고나와 버렸지
나와각꼬언자 그 절로 뜨더다가 마 여 겅기사 짇따 그러대요	나와가지고 인제 그 절을 뜯어다가 마 여기에 근기사 지었다 그러대요
하모 머 갈리는 엄써요 내나 요거요고또 머	아무렴 뭐 갈 일은 없어요 내나 요것 요것도 뭐
고소성에	고소성에
그 할머이 그라먼자 그 여페 저 흐르는 킁 강 안이슴니꺼이	그 할머니 그러면 인제 그 옆에 저 흐르는 큰 강 있잖습니까
무승 강임미꺼	무슨 강입니까
섬진강이라 허지요섬진강이라 하지요  그 섬진강에 그 머 생강나시는대로 얘기좀 해주이소 머 유멩하지마는녜	
그 섬진강에 그 머 생강나시는대로 얘기좀 해주이소 머 유멩하지마는녜	그 섬진강에 그 뭐 생각나시는 대로 얘기 좀 해 주십시오 뭐 유명하지마는요
고 저전 재츱 요요게엔잗 엳스	고 저 저 재첩 요 요게 인제 여기서
우리 큰질로 쭝내리가가꼬 그릳	우리 큰 길로 쭉 내려 가 가지고 그리
도라가먼 금 모티이 그거막	돌아가면 그 모퉁이 그것 막
갱주개 잠는다고 그 그스 머이곧 갱주개란다 내가 또	강조개 잡는다고 그 그슥 뭐니 갱주개라고 한다 내가 또
그스 재츱잠는다고 사람드리 여름데머	거기에서 재첩 잡는다고 사람드리 여름되면
오래는 차꾸 비가 싹 와쌍께로 마 앙간능가 몰라	올해는 자꾸 비가 싹 와 쌓으니까 마 안 갔는지 몰라
재츱잠는다고 그 나가거등뇨 강에	재첩 잡는다고 그 나가거든요 강에
그 섬진강에	거기에 섬진강에
그 연내나 그 하동갈라머 쭉	그  여기 내나 그 하동 가려면 쭉
모랭이 안 트는가욛 다리 다리 해 각꼬	모롱이 틀잖는가요 다리 다리 해 가지고
여거서 큰질로 쭉 가먼 모랭이 탁 토는데 읻찌요 하부동 하동가고 하개가고 막하는디	여기서 큰 길로 쭉 가면 모롱이 탁 도는 데 있지요 하동 하동 가고 화개가고 막 하는 데
예예	예 예
거거에섣 저네 감축찌헐쩌게 여 아자씨가 즈극	거기에서 전에 감 축제할 적에여기에 아저씨가 저기
새미인는디 그 파랑대문인는 그 아자씨는	우물 있는 데 그 파랑 대문 있는 그아저씨는
