dialect	standard
그 저네 그 그 나물 저 곤드레 딱 찌기 뜨뜨러 걸 가 댕겨 까불 그런 게 이써따고	그 전에 그 그 나물 저 곤드레 딱지기 뜯으러 그걸 가 다녀  그런 게 있었다고
그래 간다 거기 옌나레 근녀 글 여르메 거기가 옌나레 아주 아주 옌나레  조소 조소가너머가지고서는 거 조 조개 껍때기 따서 완청에 가먼 저 껍때기 이써따고	그래 간다 거기 옛날에 금년  여름에 거기가 옛날에 아주 아주 옛날에 조소 조소가 넘어가지고서는 거 조 조개껍대기 따서 완청에 가면 저 껍대기 있었다고
그럼 그건 조개 껍때기가 이써서 이제 고기 어짜는 알겐는데 새 우 짜는 뭔가요	그럼 그건조개 껍대기가 있어서 이제 고기자는 알겠는데 새 우 자는 원가요
글쎄 새우 짜는 몰러 새우 짜는 새우 짜 쓰는 거는 그건 인제 그 암녀커게 고 미테 그 피때봉 믿 그 미테 어우시란 데가 고리 지퍼요	글쎄 새 우 자는 몰라 새 우 자는 새 우 자 쓰는거는 그건 인제 그  그 밑에 그 핏대 봉 밑 그 밑에 어우실이란 데가 골이 깊어요 아이구 이 초목 초모기 말 시마게 안 드러 아이구 이 초목 초목이 말 심하게 안 들어
옌날 그 하메 시방 마트는 소를 마니 메기 움마게 키워서 소를 마니 메기니까 어우시리라고해 해짜네	옛날에는 그렇게 했는데 지금은 소를 많이 움막에 키워서 소를 많이 먹이니까 어우실이라고 해 했잖아
그럼 그럭 해써	그럼 그렇게 했어
그러며는 기둥지 어우실 또	그러면 기둥지 어우실 또
가둔지 감제	가둥지 감제
감제는 또 몬가요	감제는 또 뭔가요
감제란 얘 긴 그건 잘 모르게씀니다  감제 껀	감제란 얘기는 그건 잘 모르겠습니다  감제그건
왜 그건 껀 요 태백 까는 꼴 사목 까는 데거 지비 한 대찝 사란는데 그 철걸 해써요	왜 그건 요 태백 가는 골 사목 가는데거 집이 한 대 집 살았는데 그 철거를 했어요
그 호촌니 우리 지역 우리 우리 과놔리거든 여 한 일키로 한 오백 까머는 우카외찰대로 페난데로 거기 지금또 거 집터도 지금 다 이씨요	그 호촌리 우리 지역 우리 관활이거든 여기서한 키로 한  가며는   거기 지금 또 거기 집터도 지금 다 있어요
지금 터도 이써요	아 지금 터도 있어요
그 다으메 또 감제하고 또 아까 하나 하나	그 다음에 또 감제하고 또 아까 하나 하나
그 다메 요 이 동목쩨	그 다음에 요 이 동목제
동목쩨는	아 동목제는
똥목쩨는그기 목쌍도 목쌍도목쌍도 짜 이꼬 그 요 도 짜를 쓰는데	동목제는그게 목상도 목상도목상도 자 있고 그 도 자를 쓰는데
동 동모기며는 건 복쑹아는 도 짜자나요	동 동목이면 그건 복숭아는 도 자 잖아요
보쑹 도짜 쓸리를 동목쩨로 보고 섬 도짜하고 목 짜를 나무 목 짜	복숭 도 자 쓰기를 동목제로 보고 섬 도 자 하고 목 자를 나무 목 자
아복쑹아 복쑹아 도 짜에 나무 목짜요	아 복숭아 복숭아 도 자에 나무 목 자요
그러니까 그르니까 그 유래는 그냥 동목쩨라 그 옌나레 그 머 그 참 복쑹아가 마니 키원나 칼  마이 시먼나 우리 그거만 알지 모	그러니까 그러니까 그 유래는 그냥 동목제라 그 옛날에 그뭐 그 참 복숭아를 많이 키웠나 많이 심었나 우리 그것만 알지 뭐
그러며는 이 마을 뿐드른 주로 어떤 이를 하면서 사라가심니까	그러면 이 마을 분들은 주로어떤 일을 하면서 살아가십니까
지금뇨 혀내 혀내 나도 농사지요	지금요 현재 현재 나도 농사지요
어떤 농사를 지으	어떤 농사를 지으세요
시방 그 지금 옌날 이런 농사 하는 거 지쪼	시방 그 지금 옛날 이런 농사 하는 것 짓죠
그 대마는 인제 안 갈고 대마 삼 그거는 인제 매 사다 틀며 쉬워 고 다음 모 콩 팓 그 오곡 다 하지요	그 대마는 인제 안 갈고 대마 삼 그거는 인제  사다 틀며  고 다음 뭐 콩 팥그 오곡 다 하지요
요 옥쑤수 안 캐요 강냉이나 옥쑤수 머 이런 거 쫌 대충하고 고 다으메 그 요줌 그마이하는 거는 야채 배추 고랭지 배추를 마니 벼 여게	요 옥수수 안 캐요 강냉이나 옥수수 뭐이런 거 좀 대충하고 그 다음에 그 요즘 그 많이 하는 거는 야채 배추 고랭지 배추를 많이벼 여기에
그래요	그래요
응 그럼	응 그럼
꼬추 꼬추 잘 돼요	고추 고추 잘 돼요
고아주	
어르신 말해 주실 때 그냥 이 쪼게서 쓰는 말 인제 그 표준말 말고 이 쪼게서 시 쓰시는 말그러케 그냥 해 주시면 돼요	어르신 말해 주실 때 그냥 이 쪽에서 쓰는 말 인제 그 표준말 말고 이 쪽에서 쓰시는 말 그렇게 그냥 해 주시면 돼요
그래 그래 나 지금 여 여기 말 그대로 하는 거요	그래 그래 나 지금 여 여기 말 그대로 하는 거요
네 네 그대로 해 주시는 거	네 네 그대로 해 주시는 거
그러며는 이 마으리 가지고 인는 머 자랑꺼리가 이씀니까	그러면 이 마을이 가지고 있는 뭐자랑거리가 있습니까
이 마으리 자랑 꺼리	이 마을의 자랑 거리
자랑 꺼리는 뭐 배꼳 배루 꺼버지버 인지니 인심 좀 조은 자랑꺼리 이쪼	자랑거리는 뭐    인심 좀 좋은 자랑거리 있죠
그래요	아 그래요
인시믄 조초	인심은 좋지요
왜나며는 그 도시와 달라서 노 농촌듀 그 농사는 잘 지며는 풍년 잘 지며는 서로 음석 내가좀 나눠 머꼬 서로 서로를 논 머꼬 서로 그 제 지방 지방 찌리 이욷 이우찌리 서로가 우애가돈도카지요	왜냐면 그 도시와 달라서 노 농촌도 그 농사는 잘 지며는 풍년 잘 지며는 서로 음식 내가 좀 나눠 먹고 서로 서로를 나누어 먹고 서로 그 제 지방 지방 끼리 이웃 이웃끼리 서로가 우애가 돈독하지요
서로 음서아 입쏘기 귀처니라구 뭐 사라미 머이들 멍는데 인제 인정이 가고 가거드뇨	서로음식이 입속이 귀천이라고 뭐 사람이 무엇을 먹는데 인제 인정이 가고 가거든요
이 멍는 모 음서글 좀 해가지고 거러 논 거 머꾸 뜨거라	이 먹는 뭐 음식을 좀 해가지고걸어 놓은 거 먹고 뜨거라
와섣 마껄리 한 잔 해 가지고서는 선는건목 크다고 예따 음석 꺼뜰 해 두는 거 머꼬 제사지내문 우리 지베 오시오 저 지베 오시오 해서 가서 가치 노너 머꼬 또 그 서로에 미를 농사  이레 좀 부조카며는 가치 이러케 거드려 주고 가치 거드려 주고 그 하면 인심 조치요 모 그도	와서 막걸리 한 잔 해 가지고서는  크다고 옛다 음식 해 두는 거 먹고 제사 지내면 우리 집에 오시오 저의 집에 오시오 해서 가서 같이 나누어 먹고 또 그 서로의 밀을 농사 일에 콤 부족하며는 같이 이렇케 거들어 주고 같이 거들어 주고 그렇게 하면 인심 좋지요 뭐 그도녜 알게씀니다녜 알겠습니다
그러며는 그	그러면 그
하라번님 그 성하미 어떠케 되세요	할아버님 그 성함이 어떻게 되세요
고재식고재식	고재식 고재식
노풀고짜이쓸재짜시물식짜	높을 고 자에 있을 재 자 심을 식 자
노플 고짜에	아 높을 고 자에
이쓸 재	있을 재
이쓸 재짜에	있을 재 자에
시물 식	심을 식
시물 식짜요 네	심을 식 자요 네
하라번님 여기 그 장소는 주소는 어떠케 되나요 주소	어 할아버님 여기 그 장소는 주소는 어떻게 되나요 주소
주소 강원도 정 정선군 화암면 호촌니 사반 이구팔번지	주소 강원도 정 정선군 화암면 호촌리 반 번지
사척호촌니	사척호천니
호촌니 사반 이구팔번지	호천리 사반 이구팔번지
이구팔번지요 네	이구팔번지요 네
그 다으메 그 어르신 그 연세는 어떠케 됨니까	그 다음에 그 어르신 그 연세는 어떻게 됩니까
갑쑬생	갑술생
갑쑬생	예 갑술생
여덜 칠씸여덜	여덜 칠십여덜
그러면 어르신 지금 여기가 호촌니자나요	그러면 어르신 지금 여기가 호촌리잖아요
그 호촌닌데 그니까 어르시네 어르신 여기서 인제 어르신까지해서 한 며때쯤 되세여	그 호촌린데 그니까 어르신의 어르신 여기서 인제 어르신까지해서 한 몇 대쯤 되세요
여게엔 팔때	여기에는 팔 대
팔 때요	아 팔 대요
금 어르신 그 아번니미나 하라버니믄 그 호초네서 게속 사셔떤 거	그럼 어르신그 아버님이나 할아버님은 그 호촌에서 계속 사셨던 거에요
직쩌니 직쩐 여서 사키로 여 산 우짜기로 직쩌니라고 여 여 이키로로 가먼 오리야	직전리직전 여기서  산 위쪽으로 직전리라고 여 여 로 가면 오 리야
오 리정도에 직쩐니에서 사시고 어르시는 그럼 여기 호초는 언제 오셔써요	아 오 리 정도에 직전리에서 사시고 어르신은 그럼 여기 호촌은 언제 오셨어요
여게 온제가 한 오심년	여기 온 지가 한 오십 년
그래요 그름 어르시네 아버님 하라버니믄 어떤 이를 하션나요	아 그래요 그럼 어르신의아버님 할아버님은 어떤 일을 하셨나요
우리 아버님 하라버니믄 그 농사 로 지꼬 농사일 하셔찌	우리 아버님 할아버님은 그 농사를짓고 농사일 하셨지
그리고 어르시는 그럼 어떤 이를 하션나요	그리고 어르신은 그럼 어떤 일을 하셨나요
내 일쌩이요	내 일생이요
네 네	네 네
나도 농사 지쪼	나도 농사 짓죠
어떤 농사 지으셔써여	아 어떤 농사를 지으셨어요
저는 머이 거 농사도 막 여러가지 제써요	저는 뭐 거 농사도 막 여러가지 지었어요
처메 하꾜 조리파고는 초등하꾜 조러파고는 그 농사좀 지따가 그 목쌍사어비라고 나무 나무장사 그거또 며태하고 에 쪼끔 목 또 이러케 추라 자꼬글 뫄가지고 인제 교환하는 거 하고 사업게통으로 한 이심년 하고 그 다메 또	처음에 학교를 졸업하고는 초등학교 졸업하고는 그 농사 좀 짓다가 그 목상 사업이라고 나무 나무 장사 그것도 몇 해 하고 에 조금 목 또 이렇게 출하 잡곡을 모아 가지고 인제 교환하는 거 하고 사업계통으로 한 이십 년 하고 그 다음에 또
사어블 어턱 어디서 하셔써여	사업을 어디서 하셨어요
여 여게서 해쪼 요 마으레서	여 여기서 했죠 이 마을에서
이 마으레서	아 이 마을에서
그럼 어르신	그럼 어르신
태백 태백 황지 광산 그겓 그 탕광 이 첨 개시될쩌게 그 갱목 마이 하자내요	태백 태백황지 광산 거기에 그 탄광 이 처음 개시될 적에 그 갱목을 많이 하잖아요
그럴쩌게 요 개인산 사가주구서는 거 낙 가따 납품하고	그럴 적에 이 개인 산 사 가지고서는갖다 납품하고
그런닐 하션네요	아 그런 일 하셨네요
그런 그런 일 하시고 또 요 작꼭 사가지구 저 제천 내보내 지무는 제천서 쌀 드러오고 요 요콩강내이 옥쑤수를 가따가 마커 교환해디리고	그런 그런 일 하시고 또 이 잡곡 사가지고 저 제천 내보내지며는 제천에서 쌀 들어오고 요 콩강냉이 옥수수를 갖다가 모두 교환해 들이고
그런 사업 하다가 고다메 또 한 이심년 하다가는 또 농사 대드러서 농사는 처나지대보니라 농사를 제보니 또펴나거든 사시른	그런 사업하다가 그 다음에 또 한 이십 년 하다가는 또 농사 대들어서 농사는 천하지대본이라 농사를 지어 보니 또 편하거든 사실은
그래요 농사를 어릴 때도 지꼬 잠깐 사어블 하다가	아 그래요 농사를 어릴 때도 짓고잠깐 사업을 하다가
시방도 아이 시방도 좀 제요 시방도 꼬추 두말 캐고	지금도 아니 지금도 좀 지어요 지금도고추 두 말 캐고
그러며는 어르신 그 객찌 생화른 어떠케 하션나요	그러면은 어르신 그 객지 생활은 어떻게하셨나요
객찌 생화른 제가 그리 마니 아내찌요	객지 생활은 제가 그리 많이 안 했지요
그 일본시대 때 이항년 하꾜 댕기다가 해방되고 고 다메 그 광사니 저 삼척 도게 광산도 그럴쩌게 그때는 우리가 살기가 상다이 곤궁해가지고서는 내가 그 야간중하꾜는 인제 댕게써요	그 일본시대 때 이 학년 학교 다니다가 해방되고 그 다음에 그 광산이 저 삼척 도계 광산도 그럴 적에 그때는 우리가 살기가 상당히 곤궁해 가지고서는 내가 그 야간 중학교 하는데 다녔어요
나즈론 심부름 하고 일하고 그날 바무로 좀 댕기고 그러케 일쯕 글좀 배워가지고 현재까지 내가 흠 글에 포구니저가지고 농사 지으면서 또 어떤 이러케 제가 이러케 멀 댕기면서 조흔 그이르 이 저 모래가 이씨머는 거기 안저서 소늘 문대가지고 거기 그를 이러케 소느로 쓰고 그래한문도 서당빵에 앙가고 천자를 하루에 넉짜씩 내가 자동으로 해서 배워 배워 가지고 현재까지도 내가 그 그를 좀 쓰고 이씸다	낮엔 심부름 하고 일하고 그날 밤으로 좀 다니고 그렇게 일찍글 좀 배워가지고 현재까지 내가 흠 글에 폭운이 져 가지고 농사를 지으면서 또 어떤 이렇게 제가 이렇게 뭘 다니면서 좋은 그 이 저 모래가 있으면 거기 앉아서 손을 문대 가지고 거기 글을이렇게 손으로 쓰고 그래 한문도 서당 방에 안 가고 천자를 하루에 넉 자씩 내가 자동으로 해서배워 배워 가지고 현재까지도 내가 글 글을 좀 쓰고 있습니다
쓰고 저거 저거또 내가 제가 쓰고	쓰고 저거 저것도 내가 제가 쓰고
네 네	네 네
그래 제 자 자동으로 해서 제날까지 내 그 개명 서명 하구 그 여러가지 그 지반 족뽀 가튼 거내가 존소글 으 지케 나가고 그르지	그래 자동으로 해서 제 날까지 내 그 개명 서명 하고 그여러가지 그 집안 족보 같은 거 내가 존속을 지켜 나가고 그러지
그럼 어르신 항녀근 그러면 초등학꾜	그럼 어르신 학력은 그러면 초등학교
초등학꾜	초등학교 예
조러블 일 일 일본시대 때	졸업을 일본시대 때
하고 해방 해방 후에 선동학꾜초등학꾜 유캉년 조러파고	하고 해방 해방 후에 선동학교 요 초등학교 육학년 졸업하고
그러셔써요	아 그러셨어요
그러며는 어르신 고러케 객찌 생활한 게 아까 그러케 저기 도게 얼마나 생활하셔써여	그러면은 어르신 그렇게 객지 생활한 게 아까 그렇게 저기 도계 얼마나 생활하셨어요
거게 한 이연 이써찌요	거기에 한 이 년 있었죠
이년 이꼬 그 다으메 군생화른 안 하션나여	이 년 있고 그 다음에 군 생활은 안 하셨나요
구네는 앙가쪼	군에는 안 갔죠
구네는 왜냐하므는 그때 그 우리는 그 소집 정지베 걸레가지고 신체검사가해써도 거 인제그 갑쫑 을쫑 병종 이래 병종은 앙가꺼든뇨	군에는 왜냐하면은 그때 그 우리는 그 소집 정집에걸려 가지고 신체검사를 했어도 거 인제 그 갑종 을종 병종 이렇게 병종은 안 갔거든요
그 병종으로 안 따고서는 그양 요 민방위로 떠러지고 마라쪼	그 병종을 안 따고서는 그냥 요민방위로 떨어지고 말았죠
그러면 게속 여기 그냥 정선에서	아 그러면 계속 여기 그냥 정선에서
정선 그래 정서니에요 이 정선 하라버지 그 강능서 올러오센는데 입쩡 하라버지가 저한테그 입쩡선 셰조 고 하라버지가 십칠때 하라버지가 강능서 이 보따리 질머지고 정선에 와서 정차글 해딴 마리요	아 정선 그래 정서그렇죠 정선이에요 이 정선 할아버지 그 강릉에서 올라오셨는데 입정선 할아버지가 저한테 그 입정선 세조 그 할아버지가 십칠 대 할아버지가 강릉에서이 보따리 짊어지고 정선에 와서 정착을 했단 말이요
입쩡 하라번니미	입정 할아버님이
정차글 해가지고 거개 인제 일때버텀 현재까지 이 제 제한테는 칠십 어어 십칠때소느로 제가  지금 마꼬 이씀미다	정착을 해 가지고 거기 인제 일 대부터 현재까지 이 제 저한테는 칠십 어어 십칠 대 손으로 제가 지금 맡고 있습니다
그래깐두루 오뱅 삼심년 우리 역싸지요	그러니까 오백삼십 년 우리 역사지요
와대단하시네요	와예 대단하시네요
