dialect	standard
핸데 이 글려네 오먼서 온나나가 대가지구선 은제 어르미 아놔서 아놔 하나두 웁썬는데	헌데 이 근년에 오면서 온난화가 되어 가지고선 언제 얼음이 안 왔어 안 와 하나도 없었는데
장녀네 장년 비뻐터 비러소 장녀네 인제 어르미 나서두 약깐 이제 낟때따구 하는데 오래는 헹펴넙씨꽉 드레차따구 허더라구	작년에 작년 빗부터 비로소 작년에 이제 얼음이 났어도 약간 이제 났댔다고 하는데 올해는형편없이 꽉 들어찼다고 하더라고
오는 기레 찌거꺼든뇨 이거 다 어름이죠	오는 길에 찍었거든요 이거 다 얼음이죠
오늘두 내 행교에서 그런 얘길 해서	오늘도 내가 향교에서 그런 얘길 했어
옌나렌 사만사오니라는데 오래는 사만사온두 우 웁써지고 마라떠라니껜 어느 사라미 구안 이란게 구안이로니야요	옛날엔 삼한사온이라는데 올해는 삼한사온도 없어지고 말았떠라니까 어느 사람이 구한일한그게 구한일온이에요
아으레 추꾸 하루 따드태니께 구안이로니지	아 그래 춥고 하루 따듯하니까 구한일온이지
그러태는 이 우스며 얘기두 핸는데	그렇다는지 웃으며 얘기도 했는데
오늘두 이거 엄창나게 어르미 나때는 건데 이거이 어드런 기후의 벼놔로서 데는 건지두 모르간는데	오늘도 이거 엄청나게 얼음이 났대는 건데 이게 어떤 기후의 변화로써 되는 건지도 모르겠는데
좌우간 기우가 지나내 인제 여름처레 여기 농사처리 농사꼬장인께 농사들 진는데 비두 엄창나게마니 와꾸	좌우간 기후가 지난해 이제 여름철에 여기 농사철이 농사고장이니까 농사들 짓는데 비도엄청나게 많이 왔고
그런가 해뜨니 올 겨우렌 유나니 이러이 춥꾸 허니께 내 보 이 금년도지 이게 벌써 이뤌따린껜	그런가 했더니 올 겨울엔 유난히 이렇게 춥고 이게 내 이 금년도지 이게 벌써 이월달이니까
에 장년도에 그랜는데 금년도에 농사도 어드케 될 껀지 이제 기우가 어드러케 벼놔알 껀지도모르가서	에 작년도에 그랬는데 금년도에 농사도 어떻게 될 건지 이제 기후가 어떻게 변화할 건지도모르겠어
그러면 먼저 이 마으리 어떤 마으린지를 좀 얘기를 드러보고 시픈데요	아 그러면 먼저 이 마을이 어떤 마을인지를 좀 얘기를 들어보고 싶은데요
어 이 고구리	어어 이 고구리
언제 어떠케 생겨나꼬 주민드른 보통 어떤 성씨가 이써요	예 언제 어떻게 생겨났고 주민들은 보통 어떤 성씨가 있어요
에 지금 지금 우리 교동도가 은제 어트게 생겨나때는 건 이건 몰라	에 지금 지금 우리 교동도가 언제 어떻게 생겨났대는 건 이건 몰라
응 어니때 어드러케 천지 개벼그루 조와 소그루 인제 생겨난 건지 건 모르 모르지	응 어느 때 어떻게 천지개벽으로 조화 속으로 이제 생겨난 건지 그건 모르 모르지
그 소거네 인제 속따메 드르며는 인제 우리가 흐니 천지개벽 천지개벽 허자나	그 속언에 이제 속담에 들으면 인제 우리가 흔히 천지개벽 천지개벽 하잖아
천지개벼기랜 말만 드러찌 우리가 천지개벽 본 사라믄 업따 마리지 또 보래야 볼 쑤도 움는거시구	천지개벽이란 말만 들었지 우리가 천지개벽 본 사람은 없다 말이지 또 볼래야 볼 수도 없는거지 뭐
그게 천지개벼기래는 거는 분명이 그 서 서적 서저그루 보며는 천지개벼근 분명이 인는 거시라마리지	그게 천지개벽이라는 거는 분병히 그 서 서적으로 보면 천지개벽은 분명히 있는 것이란 말이지
그게 천지개벼기 그면 천지개벼기 은마 그 기이리 은마나 걸리냐면 무려 시비만 구천뉵뺑 녀니래는세워리 흘를단 마리야	그게 천지개벽에 그러면 천재개벽이 얼마 그 길이 얼마나 걸리냐면 무려 십이만 구천육백년이라는 세월이란 말이야
그 시비만 구천뉵뺑 녀니 데며는 그땐 완저니 천지개벼기 된데는데	그 십이만 구천육백년이 되면 그땐 완전히 천지개벽이 된다는데
우리 교동이랜 데가 인제 그 천지개벼컬 때에 생겨난 건지 그 추후에 어드케 생겨난 건지 그거슨그 내여근 모르고	우리 교동이라는 데가 그 천지개벽할 때에 생겨난 건지 그 추후에 어떻게 생겨난 건지 그것은그 내역은 모르고
에 교동에 대한 금 또 뭐 다른 거 무를 꺼 인나	에 교동에 대한 그럼 또 뭐 다른 거 물을 거 있나
문는 데 대 대해서 다블 해줘야 되가찌	묻는 데 대해서 답을 해줘야 되겠지
그럼 어떤 성씨 분드리 마는지  보통은 어떤 성씨가 마나요 이 교동에는 승씨 예	그럼 어떤 성씨 분들이 많은지  보통은 어떤 성씨가 많아요 이 교동에는 성씨예
승씨는 여기가 오대승이야 다섣 다서씅이 저 저 대승이야	성씨는 여기가 오대성이야 다섯 다섯 성이 저 대성이야
그 다서씅 중에는 에 황씨 방씨  에 한씨 전씨	그 다섯 성 중에는 에 황씨 방씨  에 한씨 전씨
또 뭐냐  으음 그게 뭐지  전씨 으응 방  황씨 방씨 한씨 전씨 그리고 또하난 뭐냐 으음 이 이씬가	또 뭐냐  으음 그게 뭐지  전씨 으응 방  황씨 방씨 한씨 전씨 그리고또 하난 뭐냐 으음 이 이씨인가
그거이 게 오대 오대승이야 음	그게 그게 오대 오대성이야 음
이 마을 이름 여기가 고구리자나요  이 고구리라는 이르메 유래가 이써요 이찌아 그건 어떠케 되는 거에요	이 마을 이름 여기가 고구리잖아요  이 고구리라는 이름에 유래가 있어요 있지아 그건 어떻게 되는 거예요
고구리라는 게시 예고짜에 거북꾸짜거든	고구리라는 것이고 자에 거북 구 자거든
응 예고짜는 뭐냐먼 요 요기 저수지 여기찌  그거 고구초니래니까 고 아페 저수지이짜나 고 근너 동네가 고음니야 고음니	응고 자는 뭐냐면 여 여기 저수지 여깄지  그거 고구촌이래니까 그 앞에 저수지있잖아 그 건너 동네가 고읍리야 고읍리
예고짜에 으비란 읍짜 응 도 도 고으릅짜 그게 고음닌데	예 고 자에 읍이란 읍 자 도 도 고을 읍 자 그게 고읍리인데
거기가 지그믄 인제 면사무소라고 하지 그 당시에는 며 면사무소가 아니구 여그가 옌나렌교동구니야 교동군	거기가 지금은 이제 면사무소라고 하지 그 당시에는 며 면사무소가 아니고 여기가 옛날엔교동군이야 교동군
지그믄 광와군 교동면 허지마는 그때는 광아현 교동두 현	지금은 강화군 교동면 하지만 그때는 강화현 교동도 현
그니겐 광아 광아두 지그므루 얘기함 광아두 구니구 교동두 교동구니야	그러니까 강화 강화도 지금으로 얘기하면 강화도 군이고 교동도 교동군이야
그 혀니 읍써지구선두 교동구니라구 또 구느루 별또루 이 따루 이서 광아하군 별또루 이서따구	그 현이 없어지고서도 교동군이라고 또 군으로 별도로 이 따로 있어 강화하고는 별도로 있었다고
핸는데 거기가 현감 사또 이 지금 말루 얘기허먼 군수지	했는데 거기가 현감 사또 이 지금 말로 얘기하면 군수지
군수가 거기 안저뜬 자리야 고음니 고 근너 거기가 거기가 지금두 가며는 터가 이서 안저뜬관사터가 이서	군수가 거기 앉았던 자리야 고읍리 그 건너 거기가 거기가 지금도 가면 터가 있어 앉았던관사터가 있어
즉 마라자먼 인제 군청 청 지금 얘기허먼 군 청사지	지금 말하자면 이제 군 청 청 지금 얘기하면 군 청사지
그저넨 사뚜가 안자떤 관사터가 이 지금도 이서 그래서 그기 이 거기 이따가 이 음내리루 그관사가 관사가 음내루 그 너머가뜨래서	그 전엔 사또가 앉았던 관사터가 이 지금도 이서 그래서 그기 이 거기 잇다가 이 읍내리루그 관사가 관사가 읍내리루 그 넘어갔드랬어
음내리루 너머간는데 음내루 가니깐 여기는 예도으비 데자나	읍내리로 넘어갔는데 읍내로 가니까 여기는 옛 도읍이 되잖아
그니께 고으비야 바루 옌날 읍 고음니라 마랴	그러니까 고읍이야 바로 옛날 읍 고읍리라 말야
그래서 고 예고짜가 부터이꾸	그래서 고고 자가 붙어 있고
이 동네 요동 이 동네는 거부꾸짜야	이 동네 요 동 이 동네는 거북 구 자야
게 고 구 거부꾸짜 예고짜에 거부꾸짜 고 고구린데 거부긴 왜 거부기라구 핸냐	게 고 구 거북 구짜고 자에 거북 구 자 고 고구리인데 거북이 왜 거북이라고 했냐
산 형체가 거북 형체루 생겨서	산 형체가 거북 형체로 생겼어
거북 형체루 생긴데 거부기 형체루 생긴 거이 산 하나마니 아니라 세 이게 삼개사니 세 세사니 거북 형체루 여기 생겨서	거북 형체로 생겼는데 거북이 형체로 생긴 게 산 하나만이 아니라 세 이게 세 개 산이 세세 산이 거북 형체로 여기 생겼어
여 생긴 거이 어디냐며는 바루 이 지금 위 우이 사니 쭉 나려가는 저 저리 가며는 에 저기가서 드레서 보며는 거부기 모냥으루 이러케 생기구	여기 생긴 게 어디냐면 바로 이 지금 위 위 산에 쭉 내려가넌 저 저리 가면 에 저기 가서들에서 보면 거북이 모양으로 이렇게 생기고
바루 이 들 복파네 사나나 이찌 그거이 또 거부기 형체루 생겨서	바로 이 들 복판에 산 하나 있지 그게 또 거북이 형체로 생겼어
이러케 생겨서 머리가서 요러케 생기구	이렇게 생겨서 머리가 요렇게 생기고
그니 거그이 거부기구 그 저수지 인는 데서 쭉 나려가먼 저 낭무루라구 하는 거기가 또 거북형체루 사니 생겨	그러니 거기가 거북이고 그 저수지 있는 데서 쭉 내려가면 저 낙무루라구 하는 거기가 또거북 형체로 산이 생겼어
기니간 그 거북 구짜를 따서 옏으비래는 거기두 고구리니께는 그 예고짜를 따고 여기 거부꾸짜를따구 해서 고구리래는 지명이 그러케 생긴 거야	그러니까 그 거북 구 자를 따서 옛 읍이라는 거기도 고구리니까 그고 자를 따고 여기거북 구 자를 따고 해서 고구리라는 지명이 그렇게 생긴 거야
그럼 이 마을 사람드른 주로 어떤 니를 하면서 사라요	그럼 이 마을 사람들은 주로 어떤 일을 하면서 살아요
농사지 이 교동은 대체가 농사지	농사지 이 교동은 대체가 농사지
교동 싸리 또 유명하니	교동 쌀이 또 유명하니
그럼다 다른 거 읍써 전부가 농사지	그럼다 다른 거 없어 전부 다 농사지
여기는 계나 이런 거처럼 혐녀카기 위애서 만든 모이미 이써요	여기는 계나 이런 것처럼 협력하기 위해서 만든 모임이 있어요
아유 지금 사람들 무진장 쩌그 무 다나비 만트라구	아유 지금 사람들 무진장 저 뭐 단합이 많더라고
뭐야 뭐냐 뭐 띠모임 뭐 나 나 그 띠모이믄 나이 모이미지 뭐 동창 무슨무슨 계모임	뭐야 뭐냐 뭐 띠모임 뭐 나 그 띠모임은 나이 모임이지 뭐 동창 무슨무슨 계모임
뭐 뭐 하에간 절믄 사람드른 이루 헤아릴 쑤 엄는 그 모이미 상당이 마나무청 마나 그거는	뭐 뭐 하여간 젊은 사람들은 이루 헤아릴 수 없는 그 모임이 상당히 많아무척 많아그거는
해주세요	예 해주세요
우리 교동이  이르미 마나	우리 교동이  이름이 많아
처째 고림 노플 고짜에 수풀 림짜 대운 다를씬 그리고 뭐냐 그러케 이르미 만코	첫째 고림 높을 고 자에 수풀 림 자 대운 달을신 그리고 뭐냐 그렇게 이름이 많고
예저네는 여기 교동에 상 상개며니 이서서 동면 서면 붕면	예전에는 여기 교동에 삼개면이 있었어 동면 서면 북면
삼개며 삼개며니 이서꼬 고 다메는 화개면 수정면 이개며니 이서꼬	삼개면이 있었고 그 다음에는 화개면 수정면 이개면이 있었고
그리다가 인제 교동으루 됀는데 그 당시에는 인제 저번날 얘기한 인제 광아군 교동며니 아니라교동구니거든 교동혀니거든	그러다가 이제 교동으로 됐는데 그 당시에는 이제 저번날 얘기한 이제 강화군 교동면이 아니라교동군이거든 교동현이거든
그그 저 그 뭐이 인하대하꾜에서 온 채게 아주 세밀하게 잘 나와이뜬데	그그 저 그 뭐 인하대학교에서 나온 책에 아주 세밀하게 잘 나와있던데
제가 해써써요 저 그때 와써꺼든뇨	제가 했었어요 저 그때 왔었거든요
그래가지구 혀 현가미 이서꼬 한데 이 교동이 아주 저러키니 현가므루 벼슬 군수루 나려온사라미 광아 본도보덤두 여기가 더 지끄비 게그비 노픈 사라미 와따구	그래가지고 혀 현감이 있었고 한데 이 교동이 아주 저렇게 현감으로 벼슬 군수로 내려온사람이 강화 본도보다도 여기가 더 직급이 계급이 높은 사람이 왔다고
근 왜그러냐 왜그러냐며는 여기에는 인제 사 삼군 삼도통어사가 이뜨래서	그 왜그러냐 왜그러냐면 여기에는 이제 사 삼군 삼도통어사가 있더랬어
삼도통어사는 뭐냐믄 충청도 경기도 황해도 요 삼도를 통어하는 통어사	삼도통어사는 뭐냐면 충청도 경기도 황해도 이 삼도를 통어하는 통어사
인제 수군절또사가 이꾸 수군절뚜산 인제 지금 마라자면 해군본부지	이제 수군절도사가 있고 수군절도사는 이제 지금 말하자면 해군본부지
여기 서해가 여기 이끼 때메	여기 서해가 있기 때문에
이러키 때메 그거슬 겸헐려니께는 직푸미 노픈 사라미 여기 나려오는 거지	이렇기 때문에 그것을 겸하려니까 직품이 높은 사람이 여기 내려오는 거지
그러케 인제 교동이란 데가 그러게 중요한 데구	그렇게 이제 교동이라는 데가 그렇게 중요한 데고
그저넨 여기가 이 아프루 이거이 전부 개 바단무리 들락때는 개꼴	그 전엔 여기가 이 앞으로 이게 전부 개 바닷물이 들락대는 갯골
개꼬리 여 저그서 이짜그루 뚤리구 이 중가네서 저리 저쪼그루 뚤리구	갯골이 여 저기서 이 쪽으로 뚫리고 이 중간에서 저리 저 쪽으로 뚫리고
그르껜 서미 세개가 되는 거 아냐 개꼬리 무리 미러들면 스미 세개가 되니 그래서 삼개며니  돼뜨래는 거구	그러니까 섬이 세 개가 되는 거 아냐 갯골에 물이 밀어들면 섬이 세 개가 되니 그래서 삼개면이됐더라는 거고
그리구 지금 주로 인제 할 얘기가 마는게 연산군 유배지	그리고 지금 주로 이제 할 얘기가 많은 게 연산군 유배지
연산군 유배진데 연산군 저 채게두 이찌 연산군 유배지를 세 군데를 인제 추츠글 한다 마랴	연산군 유배지인데 연산군 저 책에도 있지 연산군 유배지를 세 군데를 이제 추측을 한단말이야
하나는 음내리 하나는 저 봉소리 하나는 여기	하나는 읍내리 하나는 저 봉소리 하나는 여기
이러이 추츠글 허는데 요거 인제 지금 이 면장 지금 인는 면장 먼저 면장이 아주 거기 관심이상당히 마나뜨래서	이렇게 추측을 하는데 이거 이제 지금 이 면장 지금 있는 면장 먼저 면장이 아주 거기 관심이상당히 많았더랬어
해서 아주 인제 이 교동에 뭐뭐한 사람들 면사무소 면 현시레 수시로 뫼야 모여서 의논허구전부 결론 내구 헌 결과 어디다 자리를 정핸냐면 여 영산니 바로 요 우이 거기다 자릴 정하구	해서 아주 이제 이 교동에 뭐뭐한 사람들 면사무소 면 현실에 수시로 모여 모여서 의논하고전부 결론내고 한 결과 어디에다 자리를 정했냐면 여 영산리 바로 이 위 거기에다 자리를 정하고
비꺼지 연산저꺼지라고 유배지라고 비꺼지 인제 해다 거이 세워놘는데	비까지 연산적거지라고 유배지라고 비까지 이제 해다 거기 세워놨는데
그 사라미 그 성이 권간데 권태이린가 그 면장 이서스면 아마 그거이 돼슬껀데 그 사라미 가는바라메 비만 가따 시워노콘 그냥 방치해노쿠 말지	그 사람이 그 성이 권가인데 권태일인가 그 면장 있었으면 아마 그게 됐을 건데 그 사람이가는 바람에 비만 갖다 세워놓고는 그냥 방치해놓고 말지
이 교동이란 데가 이러케 유서기픈데	이 교동이라는 데가 이렇게 유서깊은데
행교는 또 뭐 어떠케 된냐먼 이 교동행교가 지금 나마닐때에 행교가 이백서른 이백스물세개행교가 이서	향교는 또 뭐 어떻게 됐냐면 이 교동향교가 지금 남한일대에 향교가 이백서른 이백스물세개향교가 있어
인는데 이 교동행교가 그 나만 일때 행교중에 젤 위쑤행교야	있는데 이 교동향교가 그 남한일대 향교 중에 제일 윗수향교야
나도 전교헐 때 인제 성균과네 올라가면 아우 위쑤행교 전교님 오셔따구 인제 거 거기서 그런다구	나도 전교할 때 이제 성균관에 올라가면 아우 윗수행교 전교님 오셨다고 이제 거 거기서 그런다고
근데 왜 위쑤가 뒌냐면 제일 먼저 이 행교가 언제 생견냐면 천구백이십팔련 이 고려 인종 오년오녀네 이 행교가 생겨서	그런데 왜 윗수가 됐냐면 제일 먼저 이 향교가 언제 생겼냐면 천구백이십팔년 이 고려 인종오년 오년에 이 향교가 생겼어
생겨가지구 그 인제 고 그리군 행교 생긴 멷 해 이따가 이 아뉴아냥 아냥이 이찌 이르미아냥이구 호는 이르미 아뉴고 호가 아냥이구나 그 사라미 저 거러키니 중구겔 건너가서	생겨가지고 그 이제 고 그리곤 향교 생긴 몇 해 있다가안유안향 안향이 있지 이름이안향이고 호는 이름이 안유고 호가 안향이구나 그 사람이 저 그렇게 중국에를 건너갔어
원나라 그때 원나라지	원나라 그때 원나라지
원나라에 근너가따가 공자니메 영정을 모시구 나오는데	원나라에 건너갔다가 공자님의 영정을 모시고 나오는데
지그믄 인제 뭐 배루두 댕 아이 거러키니 기차루두 댕기구 배 저 비행기루 댕기구 그러는데 그땐그런거이 웁쓰니께는 거찌 아느머는 배타고 물로 오는 거라 마리야	지금은 이제 뭐 배로도 나 아이 그렇게 기차로도 다니고 저 비행기로도 다니고 하는데 그땐그런게 없으니까는 걷지 않으면 배타고 물로 오는 거란 말이야
거기서 거러오니껜 힘드니껜 배타구 거그서 오며는 그땐 서우리 어딘냐며는 개성이란 마리야개경 고려때니껜	거기서 걸어오니까 힘드니까 배타고 거기서 오면 그땐 서울이 어딨냐며는 개성이란 말이야개경 고려 때니까
그니까 개경으루 개성으루 드러갈려 그르먼 일러리 와야된다 마리지	그러니까 개경으로 개성으로 들어가려 그러면 이리로 와야 된다 말이지
여기 교동에꺼지 와따가 어떠케보먼 그이 풍낭이 만난는지 피곤해선지 그 공자님 영정 모시고오든 배가 이 교동에 대 대서	여기 교동에까지 왔다가 어떻게 보면 그 풍랑을 만났는지 피곤해선지 그 공자님 영정 모시고오던 배가 이 교동에 댔어
교동에다 대구서 그리켄 그 교동이 대 대구나선 그 공자니메 영정을 배에다 모시기 그러니깐육찌루 인제 그 초마글 지꾸서 육찌에다 모셔놔따 실쿠선 개성으로 가따마리지	교동에대 대고서 그러니까 그 교동에 대 대고나서는 그 공자님의 영정을 배에다 모시기 그러니까육지로 이제 그 초막을 짓고서 육지에다 모셔놨다가 싣고선 개성으로 갔다 말이지
그래서 원나라에서 처음 오다가 교동에 기차글 해끼 때메 그래서 교동행교가 제일 먼저 공자님모시는 고시란 마리야 그리니케 나만 일때에 행교 중에 위쑤행교라고 허는 거지	그래서 원나라에서 처음 오다가 교동에 기착을 했기 때문에 그래서 교동향교가 제일 먼저공자님 모시는 곳이란 말이야 그러니까 남한일대의 향교 중에 윗수향교라고 하는 거지
그 행교가 인제 그 행교가 어디째냐먼 저 고음니 거이 관사터두 이 저수지 인는 저수지 인는동네가 고음 고으비거든	그 향교가 이제 그 향교가 어디께냐면 저 고읍리 그 관사터도 이 저수지 있는 동네가 고읍고읍이거든
고으 고읍 거기가 인제 관사터두 이꾸 거기서 요로게 건너보자멘 사네가 인제 행교터가 지구그게 구생교 구 구 행교터라 그르지	고으 고읍 거기가 이제 관사터도 있고 거기서 이렇게 건너보자면 산에가 이제 향교터가 지고그게 구향교 구 구 향교터라 그러지
그 행교터가 이꾸 거기 이따가 에 천칠백팔씨빌려네 그 한 오뱅년 뒌나 사뱅년 뒌나 그거기따가 음내리 지금 인는 행교루 글루 올마간 거야	그 향교터가 있고 거기 있다가 에 천칠백팔십일년에 그 한 오백년 됐나 사백년 됐나 그거기 있다가 읍내리 지금 있는 향교로 그리로 옮아간 거야
이 행교는 그런 교동행교가 그런 행교야	이 향교는 그런 교동향교가 그런 향교야
그걸 다 가추고 인는 향교두 며깨 업따구 드러써요	그걸 다 갖추고 있는 향교도 몇 개 없다고 들었어요
아냐 공잔님 영정은 다 가추고 이서	아냐 공자님 영정은 다 갖추고 있어
근데 거기서 직쩝 모셔온 잘몯 뜨런나	그런데 거기서 직접 모셔온 잘못 들었나
제기	제기
네 네	네 네
응 제 제 제기두 제기는 누가 가져완냐면 김문성이랜 사라미 아뉴 선생이 영정을 모셔오구 나서는그 후에 김문성이란 사라믈 원나라에다 보내서 원나라에서 제길 가져완는데 제기는 저 글러리가찌 교동엔 둔 건 아냐	응 제 제기도 제기는 누가 가져왔냐면 김문성이라는 사람이 안유 선생의 영정을 모셔오고나서는 그 후에 김문성이라는 사람을 원나라에다 보내서 원나라에서 제기를 가져왔는데 제기는저 그쪽으로 갔지 교동에 둔 건 아냐
에 그러며는 하라버지의 정보에 대해서 그 저글 껀데요	에 그러면 할아버지의 정보에 대해서 그 적을 건데요
하라버지에 그 정보를 여기에 저글 껀데요 즈 출쌩지가 어디세요	하라버지의 그 정보를 여기에 적을 건데요 저 출생지가 어디세요
내 출쌩지	내 출생지
우리 내 출쌩지가 지금 우리 저 하라버지가	우리 내 출생지가 지금 우리 저 할아버지가
고려 말려네  고 이 이싱게 씨가 인제 등그칼 때 고려 말려네 대사헌까지 지내신 하라버지여기 하라버지가 인제 고려 말기에 대사 그 고려 정꿔네 대사헌꺼지 지내신 하라버지가	고려 말년에  고 이 이성계 씨가 이제 등극할 떼 고려 말년에 대사헌까지 지내신 할아버지여기 할아버지가 이제 고려 말기에 대사 그 고려 정권에 대사헌까지 지내신 할아버지가
이싱게 씨가 이제 등그카면서 그 그니껜 왕씨가 무너지구 이씨가 등그컨 거 아냐	이성계 씨가 이제 등극하면서 그 그러니까 왕씨가 무너지고 이씨가 등극한 거 아냐
그 당시에 충시는 불싸이구니다 마랴	그 당시에 충신은 불사이군이다 말이야
어찌 내가 고려에 충시닌데 이씨에 또 그 조정이를 보겐냐 해가지구 그 당시에 이 교동으루나컁을 해오셔서	어찌 내가 고려의 충신인데 이씨에 또 그 조정일을 보겠냐 해서 그 당시에 이 교동으로 낙향을해오셨어
그니겐 내 대 내게 십꾸대 하라버지가 이 교동으루 오셔가지구	그러니까 내 대 내게 십구대 할아버지가 이 교동으로 오셔가지고
기니겐 나는 지금 이 교동에 오신 하라버지가 하라버지 이우로부터 이 여기 교동에 인는 게이심삼세꺼지 나려와서 이십삼 이시비대꺼지 나려와 이십사 삼대꺼지 나려와 이따 지금	그러니까 나는 지금 이 교동에 오신 할아버지가 할아버지 이후로부터 이 여기 교동에 있는게 이십삼대까지 내려와서 이십삼 이십이대까지 내려와 이십삼대까지 내려와 있다 지금
아아	아아
이러케 역싸가 교동에 아마 제일 터주때가미라구 허먼 전씨가 터주때가미라 하먼 바른말 될꺼야	이렇게 역사가 교동에 아마 제일 터줏대감이라고 하면 전씨가 터줏대감이라 하면 바른말 될거야
그러케 그러케 뿌리가 기퍼 여기가 교동에	그렇게 그렇게 뿌리가 깊어 여기가 교동에
그러면 여기 출생진 여기 고구리세요	그러면 여기 출생지는 여기 고구리세요
으응 고구리	으응 고구리
그러며는 이 조상분들도 계속 여기서 농사 지으면서 사신 거세요	그러면 이 조상분들도 계속 여기서 농사 지으면서 사신 거세요
그러치 농사 저찌	그렇지 농사 지었지
항녀근 어떠케 되세요	학력은 어떻게 되세요
항녀기래야 뭐 볼 꺼 인나 인제 그건 인제 그 당시에는 인제 내가 댕길 때는 왜정 츰 이짜어궁미나꾜라구 해가지구 궁미나꾜 좀 댕기다가	학력이래야 뭐 볼 거 있나 이제 그건 이제 그 당시에는 이제 내가 다닐 때는 왜정 처음 있잖아국민학교라고 해서 국민학교 좀 다니다가
여기 농어파꾜라고 이서가지고 농학 하꾜 쪼끔 한 일련 댕기다가 구악이나 쪼끔 일꾸 만 거지뭐	여기 농업학교라고 있어서 학교 학교 조금 한 일년 댕기다가 구학이나 조금 읽고 만 거지 뭐
허며는 군대 다녀오셔써요	그럼 군대 다녀오셨어요
그럼 군대 대녀 여그 여기 문패 모뽠나 구까유공자라구	그럼 군대 여기 문 못봤나 국가유공자라고
맞다맞다 그러면 어디로 다녀오셔써요	아 맞다맞다 그러면 어디로 다녀오셨어요
바루 전시야 유기오 때 그때 저 전쟁알 땅시야	바루 전시야 육이오 때 그 때 전쟁할 당시야
에 그 중부정 전선 금성 그마 그 그 전투에 중부전서네서 전투헌 거지	에 그 중부전 전선 금성 김화 그 그 전투에 중부전선에서 전투한 거지
그러며는 면녀니나 거기서 계셔써요	그러면 몇 년이나 거기서 계셨어요
면년 핸냐구	몇 년 했냐구
오십 칠개월	오십칠개월
오십 칠개월 우와	오십칠개월 우와
지그믄 뭐 이시빌개월 이시비개월 오십칠개 해쑤로 융년 해서 융년	지금은 뭐 이십일개월 이십이개월 오십칠개 햇수로 육년 했어 육년
어휴 그러며는 여기서 계속 농사 지으신 거세요	어휴 그러면 여기서 계속 농사 지으신 거세요
그 그럼 지금 가족 뿐드른 어트게	그럼 지금 가족 분들은 어떻게
가조근 아이드른 전부 인제 육찌루 나가이찌	가족은 아이들은 전부 이제 육지로 나가있지
크나드른 인제 서울서 고등아꾜 교사루 이꾸	큰아들은 이제 서울에서 고등학교 교사로 있고
나마지 아이드른 인천 인제 가인는데 한노믄 동사무소에 이꾸 한노믄 구청에 이꾸	나머지 아이들은 인천 가있는데 한놈은 동사무소에 있고 한놈은 구청에 있고
