dialect	standard
솟에다가 물 쫌 부 나라	솥에다가 물 좀 부어 놓아라
솣은 깨끗하이 딲아서 부뚜막에 올리나라	솥은 깨끗하게 닦아서 부뚜막에 올려놓아라
오늘 쇠주 한잔 하까	오늘 소주 한잔 할까
불 피우그로 숫을 쫌 가오 바라	불 피우게 숯을 좀 가져와 봐라
숱은 어데다가 피우꼬	숯은 어디다가 피울까
귤이 너무 시그러바서 못 묵겠다	귤이 너무 시어서 못 먹겠다
우리 시동상이 다음 달에 결혼한다 카네	우리 시동생이 다음 달에 결혼한다고 하네
우리 엄마는 시무 살에 시집왔다 카더라	우리 엄마는 스무 살에 시집왔다고 하더라
얼굴이 너무 더럽은께네 가서 시수 좀 해라	얼굴이 너무 더러우니까 가서 세수 좀 해라
여 시숫대가 없네	여기 세숫대야가 없네
갸가 뉘에꼬치로 실써서 멩지 베를 짰다 안 허요	걔가 누에고치로 실켜서 명주 베를 짰다고 하잖아요
한바탕 쏘낙비가 퍼부울랑갑다	한바탕 소낙비가 퍼부으려나 보다
나 오늘 쏘주 한잔 묵고 싶다	나 오늘 소주 한잔 먹고 싶다
이거는 대구 아개미로 맨든 젓갈임더	이것은 대구 아가미로 만든 젓갈입니다
우리 아들덜은 지 아부지한테 잘햐	우리 아들들은 자기 아버지한테 잘해
야들아 오늘이 칠월 초아으레재	얘들아 오늘이 칠월 초아흐레지
어머이 오늘 낮에 아재 오싰다 가싰습니더	어머니 오늘 낮에 삼촌 오셨다 가셨습니다
올채이 크무 메그락지 댑구마	올챙이가 크면 개구리가 됩니다
너그 작은아부지가 펜찮으시단다	너희 작은아버지가 편찮으시단다
숨어서 총을 저누고 있다가 멧대지가 나타나먼 기양 쏴야 된데이	숨어서 총을 겨누고 있다가 멧돼지가 나타나면 그냥 쏴야 된다
양짝 저드랑이 씰려서 따갑어예	양쪽 겨드랑이 쓸려서 따가워요
저울에 땔 땔감을 미리 장만해야 되잖에유	겨울에 땔 땔감을 미리 장만해야 되잖아요
접옷만 걸칬더이 고뿔이 들어 삐맀다	겹옷만 걸쳤더니 감기가 들어 버렸다
김치는 새우로 맨들은 젖에다가 담근 게 맛있지요	김치는 새우로 만든 젓에다가 담근 게 맛있지요
젙눈질로 눈치를 주다가 딱 걸려 불었당께	곁눈질로 눈치를 주다가 딱 걸려 버렸다니까
아 시언쿠로 지저구 벳게라	아기 시원하도록 기저귀 벗겨라
너머나 진 놈은 짤라 불고	너무나 긴 것은 잘라 버리고
츰이는 다 그런 겨	처음에는 다 그런 거야
따라오는 사람이 수상시럽으이 자꾸 치다보는 기라	따라오는 사람이 수상스러우니 자꾸 쳐다보는 거야
저 산에 가먼 호랭이가 있다고 그러드랑께	저 산에 가면 호랑이가 있다고 그러더라니까
머리는 앞으로 가름마를 타서 양옆으로 갈렀다	머리는 앞으로 가르마를 타서 양옆으로 갈랐다
인제 행리 지내먼 또 각시 집이루 가는디 신랑 따루 각시 따루 이렇게 가매 타구 와유	인제 행례 지내면 또 각시 집으로 가는데 신랑 따로 각시 따로 이렇게 가마 타고 와요
콩 갈어서 가매솥에 끓이 가주구 간수 늫구 두부를 맨들지	콩 갈아서 가마솥에 끓여 가지고 간수 넣고 두부를 만들지
운동장 가상이에 큰 고목나무가 있었유	운동장 가에 큰 고목나무가 있었어요
질을 가다가 돌멩이 같은 데 걸려 넘어지서 갈비뻬가 부러졌유	길을 가다가 돌멩이 같은 데 걸려 넘어져서 갈비뼈가 부러졌어요
시동생들 공부 갈키느라구 참이 농사두 했어유	시동생들 공부 가르치느라고 참외 농사도 했어요
바구니에 개나리꼿을 잔뜩 담어 놨어요	바구니에 개나리꽃을 잔뜩 담아 놨어요
밤이 되면 개똥벌거지들이 마이 날아댕기여	밤이 되면 반딧불이들이 많이 날아다녀
머가 물었는지 개럽어서 죽을다	뭐가 물었는지 가려워 죽겠다
나락을 손이로 홅으먼 온몸이 개로울 수 있어라우	벼를 손으로 훑으면 온몸이 가려울 수 있어요
몸이 개볍어야 퍼뜩 뛰지	몸이 가벼워야 빨리 뛰지
우리 마실은 예전에 집집마둥 거우를 마이 키웠니더	우리 마을은 예전에 집집마다 거위를 많이 키웠습니다
깨진 게울을 보믄 재수 읎다 그러니께 버려유	깨진 거울을 보면 재수 없다 그러니까 버려요
가을에 무수를 꾸덩이다가 묻어 놓구서는 게울에 꺼내서 뭇국두 끓여 먹잖에유	가을에 무를 구덩이에다가 묻어 놓고서는 겨울에 꺼내서 뭇국도 끓여 먹잖아요
지는 겨드랭이에 땀이 마이 납니더	저는 겨드랑이에 땀이 많이 납니다
저는 군대 갔다 오구 사헤에서 생활두 하다 보니까 겨론을 늦게 했유	저는 군대 갔다 오고 사회에서 생활도 하다 보니까 결혼을 늦게 했어요
고둥에가 싱싱혀서 그란지 겁나게 맛나구마	고등어가 싱싱해서 그런지 굉장히 맛나구먼
마침 방앗간집에서 돼지를 잡었다길래 괴기 한 근 사다 끓이 먹었지	마침 방앗간집에서 돼지를 잡았다길래 고기 한 근 사다가 끓여 먹었지
괴기 꿉는 냄새가 집 안에 진동했다	고기 굽는 냄새가 집 안에 진동했다
이 구러이 겉은 놈아	이 구렁이 같은 놈아
그따우 짓 할라머 고마 치아 뿌라	그따위 짓 하려면 고만 치워 버려라
지금은 논에 그머리가 별로 읎으니께 갠찮어유	지금은 논에 거머리가 별로 없으니까 괜찮아요
기뚜라미 우는 거 보이 날이 좀 시언해질세	귀뚜라미 우는 거 보니 날이 좀 시원해지겠네
저 집은 밤에 기신 나오까 싶어가 무섭어예	저 집은 밤에 귀신 나올까 싶어서 무서워요
소리 크까네 깃구멍 꼭 막아라	소리 크니까 귓구멍 꼭 막아라
우리 아부지느 이쎄 까딱하문 홰르 쓰읍구마	우리 아버지는 요즈음 까딱하면 화를 냅니다
우리 아들내미가 내인테 까락지를 사 주더래이	우리 아들내미가 나한테 가락지를 사 주더라
청에는 까시가 많응께 잘 볼가 묵어야 헌당께	청어는 가시가 많으니까 잘 발라 먹어야 한다니까
역서 집까정 걸어 댕기냐	여기서 집까지 걸어 다니냐
할머니는 꼬재이 차림으로 마리에 앉어 기싰니더	할머니는 고쟁이 차림으로 마루에 앉아 계셨습니다
꽁대이 빠지라꼬 토끼더니 잘 사나 몰래	꼬랑이 빠지라고 달아나더니 잘 사는지 몰라
꿀뚝에 연게 나나 바라	굴뚝에 연기 나나 봐라
수술허고 여러 끌을 굶어 농께 기양 죽겄더라고	수술하고 여러 끼니를 굶어 놓으니까 그냥 죽겠더라고
걔는 나잇갑을 못허니 참 걱정이유	걔는 나잇값을 못하니 참 걱정이에요
어릴 적에는 나지오에사 나오는 유행가를 녹음했잖소	어릴 적에는 라디오에서 나오는 유행가를 녹음했잖소
냇갈 짝에 사람이 많은개비네	냇가 쪽에 사람이 많은가 보네
이제 쌀이 느 홉 남았아	이제 쌀이 네 홉 남았어
요새도 다디미질을 허는 집이 있는가 몰겄소	요새도 다듬이질을 하는 집이 있는지 모르겠소
버선을 신고 단님을 매는 사람이 있었지	버선을 신고 대님을 매는 사람이 있었지
이 대레미는 전기를 많이 먹지	이 다리미는 전기를 많이 먹지
대와가 억수로 싱싱해서 꾸 무모 맛있겄다	대하가 엄청 싱싱해서 구워 먹으면 맛있겠다
엣날에는 박 터지먼 댄장을 볼랐어	옛날에는 이마가 깨지면 된장을 발랐어
벌에 쏘이믄 댄장을 발러야 헌다	벌에 쏘이면 된장을 발라야 한다
어릴 적에는 밤에 혼자 벤소 가는 기 제일 두럽더라	어릴 적에는 밤에 혼자 변소 가는 게 제일 두렵더라
모시를 따듬어서 치마두 하구 적삼두 해 입잖어유	모시를 다듬어서 치마도 하고 적삼도 해 입잖아요
어떤 놈들이 밤사이에 간판을 띠 갔다	어떤 놈들이 밤사이에 간판을 떼어 갔다
이 머시마가 머라 카노	이 사내아이가 뭐라고 하니
산에서 멧대지가 내리와서 밭을 다 망치 났다	산에서 멧돼지가 내려와서 밭을 다 망쳐 놓았다
목젓이 부었는가 춤만 생키도 따갑아 죽겠다	목젖이 부었는지 침만 삼켜도 따가워 죽겠다
사람들을 아무리 몯고 모다도 요고뿌이 안덴다	사람들을 아무리 모으고 모아도 요것밖에 안된다
있는 집은 몰르겠지만 우리같이 없이 사는 사람들은 머든 농가 먹지요	있는 집은 모르겠지만 우리같이 없이 사는 사람들은 뭐든 나눠 먹지요
시집가면 그때부텀 반버버리인 기라	시집가면 그때부터 반벙어리인 것이야
얇은 옷은 그냥 빨으야지 방매이루 뚜들기믄 못쓰지유	얇은 옷은 그냥 빨아야지 방망이로 뚜들기면 못쓰지요
결혼 첫날에 배깥에서 문을 뚫어서 보는 것도 있었지요	결혼 첫날 바깥에서 문을 뚫어서 보는 것도 있었지요
더우니께 배깥이는 나가덜 말어	더우니까 바깥에는 나가지들 말아라
벅에 불을 때서 소죽을 쒀 멕여요	아궁이에 불을 때서 소죽을 쒀 먹여요
옛날 어렸을 적이 보면은 베를 베구서는 논이다 벳단을 세워 놔유	옛날 어렸을 적에 보면은 벼를 베고서는 논에다 볏단을 세워 놓아요
남 부끄룹게 여기서 아한테 큰소리 내덜 말어	남 부끄럽게 여기서 아이한테 큰소리 내지 마
저 빼닫이에 있는 가시개 좀 가져온나	저 서랍에 있는 가위 좀 가져오너라
어째 빼닫이가 잘 안 빠진다	어째 서랍이 잘 안 빠진다
빼닫이에서 가새 좀 가죠니라	서랍에서 가위 좀 가져오너라
방 경대 빼닫이에 느 둔 내 가락지가 어디 갔는지 못 찾겠다	안방 경대 서랍에 넣어 둔 내 가락지가 어디 갔는지 못 찾겠다
워트게 창피헌지 얼굴이 뿕어져서 혼났유	어찌 창피한지 얼굴이 붉어져서 혼났어요
가는 사기는 사람 있는갑제	걔는 사귀는 사람 있나 보지
산기슥에 집을 지 났네	산기슭에 집을 지어 놓았네
옆집에 올 새각시 온다 카니까 좀 있다 한분 가 보이시더	옆집에 오늘 새색시 온다고 하니까 좀 있다 한번 가 봅시다
팥죽에 넣거로 새알수지비 좀 빚어 바라	팥죽에 넣게 새알심 좀 빚어 봐라
멋이 그리 서룹냐	무엇이 그리 서럽냐
자는 석수재이 김가 딸 아이가	쟤는 석수장이 김가 딸 아니냐
짐치를 절일라 카는데 집에 소굼이 하나도 없네	김치를 절이려고 하는데 집에 소금이 하나도 없네
소꽁지가 와 저렇노 느그 소 오데 아프나	쇠꼬리가 왜 저러냐 너희 소 어디 아프냐
소발툽이 마이 길어서 깎아 주야 되겄다	소의 발톱이 많이 길어서 깎아 줘야 되겠다
아들이 니 닮아서 손고락이 엄청 기네	아들이 너 닮아서 손가락이 엄청 기네
손툽이 빠질라 칸다	손톱이 빠지려고 한다
물건은 뒷마당 솔낭구 밑에 묻어 났다	물건은 뒷마당 소나무 밑에 묻어 놓았다
이 나무는 송추이가 너무 많아가 좀 잡아 주야 되겄다	이 나무는 송충이가 너무 많아서 좀 잡아 줘야 되겠다
나무에 송치이가 억수로 많다	나무에 송충이가 대단히 많다
니 쇡이지 말고 똑바로 말해라이	너 속이지 말고 똑바로 말해라
올 지녁에 수지비 해 무까	오늘 저녁에 수제비 해 먹을까
불이 생각보담 안 시제	불이 생각보다 안 세지
아가 방에 가 식경 좀 가오이라	아가 방에 가서 석경 좀 가져오너라
인자 나가그로 아 신발 쫌 신끼라	이제 나가게 아이 신발 좀 신겨라
쌍두이라 닮았다	쌍둥이라 닮았다
쏘나기 오는데 오데를 나가노	소나기 오는데 어디를 나가니
아가 막 보채고 와 이라노	아이가 막 보채고 왜 이러니
여그 와서 아매 한 십 년은 살았을 것이요	여기 와서 아마 한 십 년은 살았을 거요
니 월경 날짜는 동네 개들도 다 알 것이다 아매	네 월경 날짜는 동네 개들도 다 알 것이다 아마
아무럼 농새두 아무케나 지어서는 실히 거도딜이지 못해	아무렴 농사도 아무렇게나 지어서는 실히 거두어들이지 못해
돈이 웂어두 남한테 아수운 소리 못하겠아	돈이 없어도 남한테 아쉬운 소리 못하겠어
이 도랑물은 저 알루 내려가유	이 도랑물은 저 아래로 내려가요
알을 품는 것은 암닥이지유	알을 품는 것은 암탉이지요
돈으 애낄 줄 모르면 못씬다	돈을 아낄 줄 모르면 못쓴다
전에 씨던 것도 애끼고 기양 내불지 안헸어라	이전에 쓰던 것도 아끼고 그냥 내버리지 않았어요
가도 엣날에는 인물이 좋았대이	걔도 옛날에는 인물이 좋았다
요지음 잘 지내고 기시지요	요즈음 잘 지내고 계시지요
저울에는 산에 묵을 게 벨로 읎어서 산짐승들이 마실로 내려오곤 햐	겨울에는 산에 먹을 게 별로 없어서 산짐승들이 마을로 내려오곤 해
골목 이짝저짝을 둘러보다	골목 이쪽저쪽을 둘러보다
지붕 일 째 짚으루 용고새럴 틀먼 홰기가 이짝저짝 양짝으루 다 나오는 기지	지붕 일 때 짚으로 용마름을 엮으면 홰기가 이쪽저쪽 양쪽으로 다 나오는 거지
시냇가에 놀러가인께 자래가 한 마리 있어	시냇가에 놀러가니까 자라가 한 마리 있어
잔내비 무스거 잘 먹는지 내 모릅구마	원숭이가 무엇을 잘 먹는지 나는 모릅니다
엔쪽 저드랑이 아래가 뽈록 튀어나왔유	왼쪽 겨드랑이 아래가 뽈록 튀어나왔어요
생선은 적세에 굽어야 맛있제	생선은 석쇠에 구워야 맛있지
저읅에도 입을 것은 접바지밖에 없었유	겨울에도 입을 것은 겹바지밖에 없었어요
저놈우 퍼리들 좀 쥑이라	저놈의 파리들 좀 죽여라
지를 잡을라 하모 지덫을 낳야 된다	쥐를 잡으려 하면 쥐덫을 놓아야 된다
첩약 대리고 남은 찌끄레기넌 산밭에다 뿌림 좋겄다야	첩약 달이고 남은 찌꺼기는 산밭에다 뿌리면 좋겠다
배가 찌울먼 사람도 굴러 불고 그래라우	배가 기울면 사람도 굴러 버리고 그래요
저 참낭구 밑이 꿀밤이 많으이 어풀 가서 줏어라	저 참나무 밑에 도토리가 많으니 얼른 가서 주워라
먼 말인지 몰르문 물근물근 채다보지 말고 물어봐	무슨 말인지 모르면 멀뚱멀뚱 쳐다보지 말고 물어봐
처매물이 뚝뚝 널찌께네 옆으로 좀 비케라	낙숫물이 뚝뚝 떨어지니까 옆으로 좀 비켜라
꽃이 지면 팝씨가 익어서 거멓게 있다가 제 알아서 떨어지지유	꽃이 지면 파의 씨가 익어서 거멓게 있다가 제 알아서 떨어지지요
내거 도 던지서 저 한동 가는 거 잡아두 무신 소용이 있겠나	내가 도 던져서 저 외동 가는 거 잡아도 무슨 소용이 있겠나
갸느 핵교서두 글으 이르구 집에서두 글으 이르구 정말 기찹구마	그 아이는 학교에서도 공부를 하고 집에서도 공부를 하고 정말 기찹니다
나 혼차먼 괸찬헌디 새끼가 둘이나 됭께 살기가 폭폭해	나 혼자면 괜찮은데 새끼가 둘이나 되니까 살기가 퍽퍽해
가가 너그 아 친구다	걔가 너희 아이 친구이다
가꺼운 데는 죄 해 가서 낭구를 할 거도 웂구	가까운 데는 죄 해 가서 나무를 할 것도 없고
질에 가래춤으 함부루 뱉으면 안 돼	길에 가래침을 함부로 뱉으면 안 돼
가리가 불땀이 좋제	솔가리가 불땀이 좋지
불살개가 웂어서 산에 가서 가리 한 짐 해 왔다	불쏘시개가 없어서 산에 가서 솔가리 한 짐 해 왔다
큰 가마솟은 메주 같은 거 쑤구 그라지	큰 가마솥은 메주 같은 거 쑤고 그러지
엔날이는 가믐이 들면 도저히 농사를 질 수가 없었유	옛날에는 가뭄이 들면 도저히 농사를 지을 수가 없었어요
반질그륵에는 주로 가세 바눌 골무 실꾸리가 담겨 있었유	반짇고리에는 주로 가위 바늘 골무 실꾸리가 담겨 있었어요
엔날이는 가실하구 나먼 가을 떡을 해 먹었유	옛날에는 가을하고 나면 가을 떡을 해 먹었어요
정제 가서 물 한 그륵 가지오니라	부엌에 가서 물 한 그릇 가져오너라
여기서 핵교에 갈라먼 이 길이 가착지	여기서 학교에 가려면 이 길이 가깝지
장아 나가 본께 갑시가 얼매나 비싼동 그냥 왔니더	장에 나가 보니까 값이 얼마나 비싼지 그냥 왔습니다
여름이면 개고락지 소리 땜에 시끄럽어서 잠을 잘 수가 없었어예	여름이면 개구리 소리 때문에 시끄러워서 잠을 잘 수가 없었어요
벌기 묵은 것만 개리고 묵으면 됭가	벌레 먹은 것만 가리고 먹으면 되는가
금자리에 물리면 엄칭이 갠지럽더라구요	거머리에 물리면 엄청 간지럽더라고요
내가 거리 가께	내가 그리 갈게
가 이름이 거시끼더라	그 아이 이름이 거시기더라
거시럼돈은 그냥 둬유	거스름돈은 그냥 둬요
저기 앞개울을 건네가면 큰질이 나오니더	저기 앞개울을 건너가면 큰길이 나옵니다
예전이는 강을 건네서 핵교를 대녔어유	예전에는 강을 건너서 학교를 다녔어요
인제 치료가 건진 끝났유	인제 치료가 거의 끝났어요
한짝 꾸석에 걸배이 한나가 꺼적때이 우에 쭈그리고 앉아 있었어예	한쪽 구석에 거지 하나가 거적때기 위에 쭈그리고 앉아 있었어요
인제 업지 말고 걸키야제	이제 업지 말고 걸려야지
검저리가 피를 을마나 빨어 먹었는지 몸통이 통통햐	거머리가 피를 얼마나 빨아 먹었는지 몸통이 통통해
가는 겁재이라 혼자는 못 간대이	걔는 겁쟁이라 혼자는 못 간다
마을 제사는 게를 모아 가주구서 준비를 해유	마을 제사는 계를 모아 가지고서 준비를 해요
두 손을 게드랑에 찌고 버팅기고 서 있니더	두 손을 겨드랑에 끼고 버티고 서 있습니다
잇날에는 게랄도 고기반찬처럼 기했잖니껴	옛날에는 계란도 고기반찬처럼 귀했잖습니까
신랑 얼굴두 보도 않구 게론을 한 겨	신랑 얼굴도 보지 않고 결혼을 한 거야
니처름 겔른 사람이 먼 일으 한다 그래나	너처럼 게으른 사람이 무슨 일을 한다 그러니
에전이는 집이서 겔혼식을 혔어요	예전에는 집에서 결혼식을 했어요
쩌그 고동에는 한 마리에 얼매썩 허요	저기 고등어는 한 마리에 얼마씩 합니까
고동에 한 마리 꿉어 봐라	고등어 한 마리 구워 봐라
예전이는 고드래미를 따서 먹기도 하고 그랬유	예전에는 고드름을 따서 먹기고 하고 그랬어요
오새는 소방서서 고디렘도 없애 준다 카데요	요새는 소방서에서 고드름도 없애 준다고 하데요
오새는 고숨도치를 키우는 사람들도 많다 카디더	요새는 고슴도치를 키우는 사람들도 많다고 합디다
쌀이서 뉘를 골러내야 되는 겨	쌀에서 뉘를 골라내야 되는 거야
소를 몰 직에는 골삐를 놓치지 말아야 한대이	소를 몰 적에는 고삐를 놓치지 말아야 한다
국 끓이게 냉장고서 괴깃덩어리 좀 꺼내 놔유	국 끓이게 냉장고에서 고깃덩어리 좀 꺼내 놔요
예전이는 괴삐를 뭣으루 맨들었댜	예전에는 고삐를 뭣으로 만들었대
괴욤은 이렇기 길쭉한 거도 있구 똥그란 거도 있구 그래유	고욤은 이렇게 길쭉한 것도 있고 뚱그란 것도 있고 그래요
예전에는 낭게 줄 달아가 군디 타고 그랬지	예전에는 나무에 줄 달아서 그네 타고 그랬지
동태가 너무 굴따 바까 온나	바퀴가 너무 굵다 바꿔 와라
안 비나 궁겡이가 너무 짝나	안 보이니 구멍이 너무 작니
영덕에 가마 귀가 억수로 많다	영덕에 가면 게가 대단히 많다
외캉 복숭캉 사자 그라고 딸도 사 가자	참외랑 복숭아랑 사자 그리고 딸기도 사 가자
암만 띠 바도 기림자 못 띤다	아무리 뛰어 봐도 그림자 못 뗀다
기머거리라도 말이사 다 알아 듣는다	귀머거리여도 말이야 다 알아 듣는다
무학산 기슥에 할무이 묘가 있다 아이가	무학산 기슭에 할머니 묘가 있잖아
니 지금 동생을 까꾸러치고 어데 도망가노	너 지금 동생을 꺼꾸러뜨리고 어디 도망가니
아덜이 철봉에 까꿀루 매달려 있어유	아이들이 철봉에 거꾸로 매달려 있어요
딘장에 빗물이 드가 노이 그만 까시가 실어 뿌맀다	된장에 빗물이 들어가 놓으니 그만 가시가 슬어 버렸다
예전이는 기껏해야 고등어나 깔치 같은 거나 가끔 먹을 수 있었유	예전에는 기껏해야 고등어나 갈치 같은 거나 가끔 먹을 수 있었어요
타작을 하구 나서 남은 북디기는 깔키루 긁어 가주구 갖다 때기두 하구 그러지유	타작을 하고 나서 남은 북데기는 갈퀴로 긁어 가지고 갖다 때기도 하고 그러지요
예전이는 논에 깨고락지가 많었는디 요즘은 벨로 읎어유	예전에는 논에 개구리가 많았는데 요즘은 별로 없어요
깨굼은 동그랗게 생겼는디 깨물면 속이 고소햐	개암은 동그랗게 생겼는데 깨물면 속이 고소해
일을 다 끝냈디마는 마음이 깨온하대이	일을 다 끝냈더니만 마음이 개운하다
손으로 잡는 데가 꺼꺼럽은 망치를 우예 씨노	손으로 잡는 데가 꺼끌꺼끌한 망치를 어찌 쓰니
얼매나 급했던지 옷을 꺼꿀로 입고 나왔니더	얼마나 급했던지 옷을 거꾸로 입고 나왔습니다
쟤는 꺼먹동자가 한쪽으로 몰리서 똑바루 쳐다보지를 못혀	쟤는 검은자위가 한쪽으로 몰려서 똑바로 쳐다보지를 못해
꼬개이를 덴장에 찍어 묵으마 얼매나 맛있는데	고갱이를 된장에 찍어 먹으면 얼마나 맛있는데
뒤엄자리에서 꼬린내가 진동을 해라우	두엄자리에서 고린내가 진동을 해요
정지서 깨를 볶는지 집 안에 꼬소한 내가 진동을 합니더	부엌에서 깨를 볶는지 집 안에 고소한 내가 진동을 합니다
깨소금은 볶어서 나물 무치는 데 느면 꼬솜하지유	깨소금은 볶아서 나물 무치는 데 넣으면 고소하지요
할무니는 꼬쟁이 속이다 돈을 넣고 뎅깄어라우	할머니는 고쟁이 속에다 돈을 넣고 다녔어요
어릴 땐 그냥 땅바닥에 앉어서 꼰질을 두기두 했유	어릴 땐 그냥 땅바닥에 앉아서 고누를 두기도 했어요
빨래를 했더니 물이 씨커먼 꾸정물이 되더라	빨래를 했더니 물이 시커먼 구정물이 되더라
걔가 무릎꺼정 꿀꼬 그람씨롱 아무리 빌어도 내는 용서를 못하겠더라	걔가 무릎까지 꿇고 그러면서 아무리 빌어도 나는 용서를 못하겠더라
나무에 꿀밤 마이 열맀네	나무에 상수리 많이 열렸네
한 번 씹은 끔을 베랑빡에 붙여 놨다가 또 띠어서 씹었어	한 번 씹은 껌을 바람벽에 붙여 놨다가 또 떼어서 씹었어
일함서도 끔을 짝짝 씹으믄 안 되지	일하면서도 껌을 짝짝 씹으면 안 되지
끔을 질겅질겅 씹다	껌을 질겅질겅 씹다
끔얼 너머 마이 씹었드니 테거리가 다 아프다	껌을 너무 많이 씹었더니 턱이 다 아프다
샘에 가서 낫을 깨끗이 씻구 오세유	샘에 가서 낯을 깨끗이 씻고 오세요
낫이 너무 짧어 무슨 일을 하겄어유	낮이 너무 짧아 무슨 일을 하겠어요
맨날 낭구하로 간다 캐요	맨날 나무하러 간다고 해요
늙은 호박은 껍질 벗겨 내부리구서는 속을 발러서 죽을 쒀 먹어유	늙은 호박은 껍질 벗겨 내버리고서는 속을 발라서 죽을 쒀 먹어요
냄에 물건을 훔쳐서 달아나구 했지	남의 물건을 훔쳐서 달아나고 했지
오늘 아직에 우리 밭에 갔다가 능구러이 두 마리를 밨심더	오늘 아침에 우리 밭에 갔다가 능구렁이 두 마리를 봤습니다
너무 다구치지 마레이 가 기 다 직인다	너무 다그치지 말아라 걔 기 다 죽인다
봄에는 달룽개로 나물 문치 묵으모 맛있지	봄에는 달래로 나물 무쳐 먹으면 맛있지
무말랭이두 맛있게 담궈서 주믄 애들두 좋아혀	무말랭이도 맛있게 담가서 주면 애들도 좋아해
호래이보담도 더 무섭은 기 담보라 캅디더	호랑이보다도 더 무서운 게 담비라고 합디다
눈에 대래키가 나믄 퉁퉁 붓구 눈알두 빨개지잖여	눈에 다래끼가 나면 퉁퉁 붓고 눈알도 빨개지잖아
부애가 난 날에느 대림질으 하지 마고 마실이나 댕게오시우	부아가 난 날에는 다리미질을 하지 말고 마을이나 다녀오세요
찌깨기는 한나도 안 들어가게 대바구리로 만들어 논 거 꼽아 놓고 위에서 쏟아붇지 머	찌꺼지는 하나도 안 들어가게 대바구니로 만들어 놓은 것 꽂아 놓고 위에서 쏟아붓지 뭐
